A,P,N,V,Z,S,H,C,G
-0.3567,-0.3851,-0.0101,0.0183,0.0183,-0.0000,-0.0000,-0.0010,-0.0010
-0.3581,-0.3847,-0.0097,0.0169,0.0169,0.0004,0.0004,-0.0005,0.0010
-0.3581,-0.3847,-0.0097,0.0169,0.0169,0.0004,0.0004,0.0010,-0.0005
-0.3586,-0.3845,-0.0095,0.0164,0.0164,0.0006,0.0006,0.0005,0.0005
-0.3566,-0.3852,-0.0102,0.0184,0.0184,-0.0015,0.0000,-0.0005,-0.0005
-0.3570,-0.3850,-0.0100,0.0180,0.0180,-0.0013,-0.0004,-0.0003,0.0005
-0.3570,-0.3850,-0.0100,0.0180,0.0180,-0.0013,-0.0004,0.0005,-0.0003
-0.3572,-0.3849,-0.0099,0.0178,0.0178,-0.0012,-0.0006,0.0003,0.0003
-0.3566,-0.3852,-0.0102,0.0184,0.0184,0.0000,-0.0015,-0.0005,-0.0005
-0.3570,-0.3850,-0.0100,0.0180,0.0180,-0.0004,-0.0013,-0.0003,0.0005
-0.3570,-0.3850,-0.0100,0.0180,0.0180,-0.0004,-0.0013,0.0005,-0.0003
-0.3572,-0.3849,-0.0099,0.0178,0.0178,-0.0006,-0.0012,0.0003,0.0003
-0.3586,-0.3845,-0.0095,0.0164,0.0164,0.0015,0.0015,-0.0003,-0.0003
-0.3588,-0.3844,-0.0094,0.0162,0.0162,0.0013,0.0013,-0.0002,0.0003
-0.3588,-0.3844,-0.0094,0.0162,0.0162,0.0013,0.0013,0.0003,-0.0002
-0.3589,-0.3843,-0.0093,0.0161,0.0161,0.0012,0.0012,0.0002,0.0002
-0.3328,-0.3924,-0.0174,0.0422,-0.0151,-0.0000,-0.0000,-0.0010,-0.0010
-0.3342,-0.3919,-0.0169,0.0408,-0.0165,0.0004,0.0004,-0.0005,0.0010
-0.3342,-0.3919,-0.0169,0.0408,-0.0165,0.0004,0.0004,0.0010,-0.0005
-0.3346,-0.3918,-0.0168,0.0404,-0.0169,0.0006,0.0006,0.0005,0.0005
-0.3326,-0.3924,-0.0174,0.0424,-0.0149,-0.0015,0.0000,-0.0005,-0.0005
-0.3331,-0.3923,-0.0173,0.0419,-0.0153,-0.0013,-0.0004,-0.0003,0.0005
-0.3331,-0.3923,-0.0173,0.0419,-0.0153,-0.0013,-0.0004,0.0005,-0.0003
-0.3332,-0.3922,-0.0172,0.0418,-0.0155,-0.0012,-0.0006,0.0003,0.0003
-0.3326,-0.3924,-0.0174,0.0424,-0.0149,0.0000,-0.0015,-0.0005,-0.0005
-0.3331,-0.3923,-0.0173,0.0419,-0.0153,-0.0004,-0.0013,-0.0003,0.0005
-0.3331,-0.3923,-0.0173,0.0419,-0.0153,-0.0004,-0.0013,0.0005,-0.0003
-0.3332,-0.3922,-0.0172,0.0418,-0.0155,-0.0006,-0.0012,0.0003,0.0003
-0.3346,-0.3918,-0.0168,0.0404,-0.0169,0.0015,0.0015,-0.0003,-0.0003
-0.3348,-0.3917,-0.0167,0.0402,-0.0171,0.0013,0.0013,-0.0002,0.0003
-0.3348,-0.3917,-0.0167,0.0402,-0.0171,0.0013,0.0013,0.0003,-0.0002
-0.3349,-0.3916,-0.0166,0.0401,-0.0172,0.0012,0.0012,0.0002,0.0002
-0.3391,-0.3901,-0.0151,0.0359,-0.0032,0.0002,0.0002,-0.0031,-0.0031
-0.3484,-0.3882,-0.0132,0.0266,-0.0004,0.0021,0.0021,-0.0012,0.0031
-0.3484,-0.3882,-0.0132,0.0266,-0.0004,0.0021,0.0021,0.0031,-0.0012
-0.3503,-0.3876,-0.0126,0.0247,0.0005,0.0027,0.0027,0.0012,0.0012
-0.3381,-0.3903,-0.0153,0.0369,-0.0036,-0.0045,-0.0002,-0.0012,-0.0012
-0.3400,-0.3897,-0.0147,0.0350,-0.0026,-0.0039,-0.0021,-0.0006,0.0012
-0.3400,-0.3897,-0.0147,0.0350,-0.0026,-0.0039,-0.0021,0.0012,-0.0006
-0.3405,-0.3895,-0.0145,0.0345,-0.0023,-0.0037,-0.0027,0.0006,0.0006
-0.3381,-0.3903,-0.0153,0.0369,-0.0036,-0.0002,-0.0045,-0.0012,-0.0012
-0.3400,-0.3897,-0.0147,0.0350,-0.0026,-0.0021,-0.0039,-0.0006,0.0012
-0.3400,-0.3897,-0.0147,0.0350,-0.0026,-0.0021,-0.0039,0.0012,-0.0006
-0.3405,-0.3895,-0.0145,0.0345,-0.0023,-0.0027,-0.0037,0.0006,0.0006
-0.3503,-0.3876,-0.0126,0.0247,0.0005,0.0045,0.0045,-0.0006,-0.0006
-0.3509,-0.3873,-0.0123,0.0241,0.0009,0.0039,0.0039,-0.0004,0.0006
-0.3509,-0.3873,-0.0123,0.0241,0.0009,0.0039,0.0039,0.0006,-0.0004
-0.3512,-0.3872,-0.0122,0.0238,0.0011,0.0037,0.0037,0.0004,0.0004
-0.3290,-0.3933,-0.0183,-0.0183,0.0460,0.0001,0.0001,-0.0024,-0.0024
-0.3357,-0.3919,-0.0169,-0.0169,0.0393,0.0015,0.0015,-0.0010,0.0024
-0.3357,-0.3919,-0.0169,-0.0169,0.0393,0.0015,0.0015,0.0024,-0.0010
-0.3371,-0.3914,-0.0164,-0.0164,0.0379,0.0020,0.0020,0.0010,0.0010
-0.3282,-0.3934,-0.0184,-0.0184,0.0468,-0.0035,-0.0001,-0.0010,-0.0010
-0.3297,-0.3930,-0.0180,-0.0180,0.0453,-0.0031,-0.0015,-0.0005,0.0010
-0.3297,-0.3930,-0.0180,-0.0180,0.0453,-0.0031,-0.0015,0.0010,-0.0005
-0.3301,-0.3928,-0.0178,-0.0178,0.0449,-0.0029,-0.0020,0.0005,0.0005
-0.3282,-0.3934,-0.0184,-0.0184,0.0468,-0.0001,-0.0035,-0.0010,-0.0010
-0.3297,-0.3930,-0.0180,-0.0180,0.0453,-0.0015,-0.0031,-0.0005,0.0010
-0.3297,-0.3930,-0.0180,-0.0180,0.0453,-0.0015,-0.0031,0.0010,-0.0005
