buying,maint,doors,persons,lug_boot,safety
0.5042,0.1911,0.3534,-0.1605,0.1148,0.2377
-0.0427,-0.1016,-0.0030,0.1971,-0.0355,0.2264
0.0251,0.0355,0.3473,0.0993,0.4947,0.2388
-0.0300,-0.0314,-0.0185,0.2006,0.0123,0.1077
-0.1769,-0.0117,0.0160,-0.1194,-0.1090,0.6418
-0.0195,-0.0868,-0.0305,-0.1139,-0.1750,0.6664
0.0672,0.0449,0.0085,0.2856,-0.1505,-0.0149
-0.0357,0.0610,0.0173,-0.1143,-0.0024,0.3147
-0.2474,-0.3093,-0.2341,-0.4327,-0.0644,-0.4714
-0.0791,-0.1493,-0.0212,-0.1372,-0.0310,0.6585
0.1664,0.4055,-0.0473,-0.1342,0.0436,-0.1932
-0.1025,-0.0848,-0.0834,0.6461,-0.0726,-0.0620
0.4218,0.0909,-0.0475,-0.0801,0.0250,-0.1693
-0.1021,-0.0441,-0.0085,-0.1577,-0.0773,0.6304
0.3990,0.3464,0.0701,-0.1383,-0.2328,-0.2038
0.1736,0.1148,0.1735,0.5986,0.0708,0.1095
0.0240,0.2732,0.5796,0.0996,0.0055,0.2590
-0.4505,-0.1445,0.0450,-0.3754,-0.0682,-0.7657
0.1014,-0.1779,0.1897,0.2552,0.0628,-0.1905
0.0822,-0.0654,-0.0751,0.3118,0.0774,-0.0901
-0.1762,-0.0907,-0.0736,0.6718,0.0076,-0.0981
0.1895,0.1933,0.0733,0.0211,0.6075,0.1559
0.5527,0.1937,-0.0145,-0.0041,0.1077,0.4052
-0.0806,-0.1018,0.0240,0.4957,-0.0511,-0.0454
-0.1941,0.3796,-0.1700,-0.0825,0.2223,0.0853
-0.0467,-0.0480,0.0385,0.1783,0.0359,0.0828
-0.2636,-0.2952,-0.5066,-0.2583,0.0075,-0.4431
-0.0244,0.0050,0.1016,-0.1212,0.0572,0.2224
-0.1336,-0.2495,0.0362,0.6653,0.0129,-0.0905
-0.0770,-0.1102,-0.0365,-0.1776,-0.0077,0.6496
0.0434,0.4428,0.0123,-0.1274,-0.0389,-0.0914
-0.0478,0.0466,0.0011,0.1289,-0.0293,0.1412
0.1144,0.2448,0.0864,-0.1702,0.0522,-0.0869
0.0715,-0.0439,0.1139,-0.0397,0.1453,-0.0063
-0.0331,-0.0177,-0.0675,-0.1116,0.0280,0.4427
