Bit-0,Bit-1,Bit-2,Bit-3,Bit-4,Bit-5,Bit-6,Bit-7,Bit-8,Bit-9
0.000000000000000000e+00,0.000000000000000000e+00,-1.254464285714285698e-01,-1.254464285714285698e-01,-9.575892857142857817e-02,-9.575892857142857817e-02,-1.254464285714285698e-01,-9.575892857142857817e-02,-1.254464285714285698e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.254464285714285698e-01,-1.254464285714285698e-01,-9.575892857142857817e-02,-9.575892857142857817e-02,-1.254464285714285698e-01,-9.575892857142857817e-02,-1.254464285714285698e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.854910714285714413e-01,-1.323660714285714302e-01,-1.214285714285714274e-01,-1.214285714285714274e-01,-1.323660714285714302e-01,-1.214285714285714274e-01,1.254464285714285698e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.854910714285714413e-01,-1.323660714285714302e-01,-1.214285714285714274e-01,-1.214285714285714274e-01,-1.323660714285714302e-01,-1.214285714285714274e-01,1.254464285714285698e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.511160714285714191e-01,-1.511160714285714191e-01,-1.401785714285714302e-01,-1.401785714285714302e-01,-1.511160714285714191e-01,9.575892857142857817e-02,-1.511160714285714191e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.511160714285714191e-01,-1.511160714285714191e-01,-1.401785714285714302e-01,-1.401785714285714302e-01,-1.511160714285714191e-01,9.575892857142857817e-02,-1.511160714285714191e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.337797619047619069e-01,-2.098214285714285754e-01,-2.040922619047619013e-01,-2.040922619047619013e-01,-2.098214285714285754e-01,1.214285714285714274e-01,1.511160714285714191e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.337797619047619069e-01,-2.098214285714285754e-01,-2.040922619047619013e-01,-2.040922619047619013e-01,-2.098214285714285754e-01,1.214285714285714274e-01,1.511160714285714191e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.323660714285714302e-01,-2.854910714285714413e-01,-1.214285714285714274e-01,-1.214285714285714274e-01,1.254464285714285698e-01,-1.214285714285714274e-01,-1.323660714285714302e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.323660714285714302e-01,-2.854910714285714413e-01,-1.214285714285714274e-01,-1.214285714285714274e-01,1.254464285714285698e-01,-1.214285714285714274e-01,-1.323660714285714302e-01,0.000000000000000000e+00
