Head shape,Body shape,Is smiling,Holding,Jacket color,Has tie
-0.1537,-0.1762,0.0155,-0.0260,-0.1827,-0.0093
-0.1346,-0.0990,0.0376,0.0130,-0.2129,-0.1365
-0.1172,-0.1135,0.0062,0.0310,-0.2235,-0.1154
0.2728,0.2528,-0.0342,0.0007,-0.0229,-0.0016
-0.1406,-0.0912,-0.0668,-0.0023,-0.1583,-0.0733
0.2879,0.2360,-0.0296,-0.0036,-0.0011,-0.0220
0.2714,0.2731,-0.0258,0.0173,-0.0925,0.0242
0.0417,0.0571,0.1130,0.0765,0.0526,0.1267
0.0669,-0.0340,-0.0324,-0.0160,0.4766,0.0065
0.0413,0.2441,-0.0493,0.0576,0.2007,-0.0269
0.0770,-0.0435,0.0264,0.0399,0.3813,-0.0134
0.2534,0.2452,-0.0370,-0.0166,-0.0962,0.1188
0.0144,0.0449,0.1132,0.1679,0.0267,0.1005
-0.0434,-0.0389,-0.0319,0.1139,0.4600,0.0079
0.0015,-0.0298,0.0360,-0.0195,0.4853,-0.0059
0.0800,0.1022,0.0317,-0.0235,0.2639,0.0132
-0.1547,-0.1358,-0.0140,0.0111,-0.2451,0.0061
-0.0844,-0.1044,-0.1176,-0.0805,-0.1662,0.0206
-0.2169,-0.1147,0.0290,-0.0881,-0.1506,0.0089
0.0328,0.0309,0.1431,0.0667,0.0704,0.1236
0.2671,0.2468,-0.0144,0.0813,-0.0890,-0.0242
0.0469,-0.0773,0.1304,-0.0593,0.4355,-0.0087
0.0873,0.0585,0.0233,0.0217,0.2622,0.0147
0.2848,0.2645,-0.0228,-0.0007,-0.0601,0.0019
0.0546,-0.0476,-0.0370,0.0899,0.4532,-0.0456
-0.1033,-0.1716,0.0543,-0.0328,-0.1691,-0.1100
-0.2049,-0.0850,-0.0866,-0.0599,-0.1246,0.0287
-0.1551,-0.1464,0.0093,-0.1152,-0.1465,0.0214
0.0550,0.0631,0.0459,0.2160,-0.0224,0.1100
0.1044,0.0832,-0.1110,-0.1610,-0.3017,-0.1464
0.0532,-0.0617,-0.0348,0.0488,0.3578,0.1043
-0.1062,-0.1162,0.0326,-0.0704,-0.1688,-0.1033
0.0323,0.0139,0.1022,0.1718,0.0246,0.1228
-0.1275,-0.1343,-0.0225,0.0129,-0.1105,-0.1505
-0.1618,-0.1638,0.0002,0.0084,-0.2038,-0.0117
-0.0774,-0.0940,-0.0739,-0.0812,-0.0822,-0.1236
-0.1662,-0.1364,-0.0280,-0.0204,-0.1572,-0.0241
-0.1556,-0.2555,0.0164,-0.0491,-0.0987,0.0101
0.1881,0.1834,0.1441,0.0266,-0.0708,-0.0039
-0.0302,-0.0537,0.0338,0.0123,0.4806,0.0248
-0.1390,-0.1356,-0.0280,-0.0095,-0.2152,-0.0051
0.1948,0.1818,-0.0154,0.0493,0.0423,0.0147
0.0448,0.1661,-0.0317,-0.0160,0.3023,0.0021
0.1144,0.2663,0.0954,-0.0330,-0.0971,0.1216
0.1914,0.3016,-0.0092,-0.0185,0.0008,0.0015
0.0009,0.0068,-0.1431,-0.1457,-0.1325,-0.1188
-0.1144,-0.1668,0.0206,-0.0192,-0.2495,-0.0032
-0.2064,-0.1721,0.0208,0.0478,-0.2422,0.0196
0.2714,0.2548,-0.0193,0.0245,-0.0799,0.0161
0.1912,0.3098,0.0130,0.0050,-0.0571,0.0056
-0.0969,-0.0252,-0.1449,-0.1781,0.0454,-0.1326
-0.1525,-0.1302,-0.1598,0.0004,-0.0857,-0.0047
-0.1261,-0.1304,0.0535,-0.1101,-0.2463,0.0269
-0.1283,-0.1135,-0.1534,-0.0015,-0.1564,0.0207
