attribute#1,attribute#2,attribute#3,attribute#4,attribute#5,attribute#6
0.0751,0.0787,0.1078,0.0743,0.1574,0.1317
-0.1004,0.0898,-0.1183,-0.0794,-0.0581,-0.1086
0.0704,-0.1649,-0.0535,0.0540,-0.1757,-0.1054
0.0644,0.1590,0.1183,0.0759,0.0611,0.1463
-0.1904,0.0609,-0.1319,0.0556,-0.0324,-0.1368
-0.0058,0.1749,0.1283,0.0992,0.0748,0.1535
-0.0889,-0.0947,-0.0876,-0.0028,0.0080,-0.1091
0.0417,-0.1790,0.0651,0.0245,-0.1969,-0.1305
0.0637,0.0757,0.1218,0.0759,0.1688,0.1191
0.0358,-0.2042,-0.1336,0.0466,0.0245,-0.1441
-0.1940,0.0394,-0.1340,0.0413,0.0262,-0.1539
0.0577,-0.0576,0.0699,-0.1505,-0.1894,-0.1051
-0.1278,-0.0231,-0.0578,-0.0256,-0.0846,-0.0561
-0.1475,0.0635,-0.0537,0.0547,-0.1871,-0.1049
-0.0911,-0.0847,0.0699,-0.0738,-0.0686,-0.1267
-0.0691,-0.1527,-0.1125,-0.1379,-0.0150,0.1123
0.1590,0.0457,0.1080,0.1564,0.0388,0.1171
0.1644,0.0839,0.1340,0.0784,0.0534,0.1108
-0.0425,0.0474,-0.1861,-0.0498,0.0641,-0.2081
0.0686,0.0737,0.1208,0.1635,0.0569,0.1414
-0.0736,-0.0794,-0.0672,0.0356,0.0298,-0.2202
0.1578,0.0859,0.1143,0.0738,0.0564,0.1368
-0.1117,-0.0878,-0.1300,0.1073,-0.0318,-0.1209
0.0783,0.1518,0.1347,0.0792,0.0694,0.1116
-0.1700,-0.0687,-0.0458,-0.0608,-0.0756,0.0459
-0.1613,0.0194,-0.1227,0.0230,-0.2051,0.0717
-0.0520,-0.0630,-0.0772,-0.0558,-0.0554,-0.0716
-0.0907,0.0269,-0.0728,-0.0829,-0.0730,-0.0825
-0.0105,-0.0175,-0.1696,-0.1104,-0.1745,0.1075
-0.0793,-0.0797,0.0711,-0.0803,-0.0738,-0.1330
-0.1606,0.0334,0.0645,0.0238,-0.2072,-0.1290
0.0177,0.0305,0.0687,-0.1638,-0.2091,-0.1190
0.1505,0.0398,0.1129,0.1523,0.0497,0.1198
0.0170,-0.1088,-0.0790,-0.1031,-0.0103,-0.0908
-0.1706,-0.1764,0.0755,0.0191,0.0218,-0.1444
0.0760,0.0779,0.1208,0.1622,0.0476,0.1405
-0.0477,-0.0639,0.0619,-0.0527,-0.0573,-0.2152
-0.1650,-0.0463,0.0797,-0.1530,0.0295,-0.1198
0.0099,-0.1871,0.0785,-0.1677,0.0377,-0.1463
0.0177,-0.0777,-0.1098,-0.0674,-0.0369,-0.1008
0.0260,0.0461,-0.1450,-0.1917,0.0395,-0.1499
0.0191,-0.0429,-0.1005,-0.1406,-0.1774,0.0673
0.0188,-0.1777,0.0783,-0.1717,0.0209,-0.1437
0.0755,0.0806,0.1201,0.1608,0.0476,0.1405
0.0246,-0.1718,0.0723,0.0414,-0.2041,-0.1374
0.0878,0.0687,0.1246,0.0671,0.1644,0.1123
0.0936,0.1035,0.1329,0.1007,0.0676,0.1267
0.0626,0.0862,0.1372,0.1622,0.0601,0.1166
0.0850,0.1497,0.1115,0.0782,0.0641,0.1365
-0.0083,-0.0961,-0.0848,-0.0896,0.0094,-0.1056
-0.0012,0.0955,0.1450,0.1794,0.0825,0.1237
-0.0774,-0.0735,-0.0603,-0.1109,-0.0958,0.0429
0.0725,0.0736,0.1194,0.0663,0.1687,0.1245
-0.0819,-0.0835,0.0747,-0.0912,-0.0587,-0.1344
0.0106,0.0407,-0.1208,0.0330,-0.2141,-0.1245
-0.0546,0.0537,-0.1128,0.0639,-0.2061,-0.1191
0.0698,0.1609,0.1223,0.0679,0.0605,0.1436
0.0841,0.0799,0.1375,0.1625,0.0439,0.1171
-0.0117,-0.0995,0.0200,-0.0814,-0.1069,-0.0955
-0.0557,-0.0653,-0.1093,0.0122,-0.0399,-0.1170
0.0356,0.1000,0.0874,0.1491,0.1752,0.0777
-0.1007,-0.0780,0.0681,-0.0810,-0.0534,-0.1300
-0.0579,-0.0655,-0.1147,-0.0631,0.0397,-0.1135
-0.0886,-0.1008,-0.0808,0.0012,0.0093,-0.1153
-0.0650,-0.0540,-0.1179,-0.0584,-0.0267,-0.0529
-0.1502,0.0114,0.0411,-0.1386,-0.1897,0.0508
0.0118,-0.0697,-0.1092,-0.0594,-0.0456,-0.1030
0.0181,-0.1936,0.0787,-0.1662,0.0287,-0.1407
0.0635,0.0878,0.1208,0.0689,0.1682,0.1157
-0.1337,-0.1562,-0.1123,-0.1309,0.0588,0.0993
-0.0855,-0.0831,0.0692,-0.0757,-0.0704,-0.1294
0.0603,-0.1975,-0.1277,0.0568,-0.0316,-0.1353
-0.0556,-0.1461,-0.1052,-0.1433,-0.0305,0.1056
-0.0802,-0.0710,-0.1194,-0.0880,0.0993,-0.1157
0.0924,0.0981,0.1373,0.1776,-0.0049,0.1245
-0.0999,0.1014,-0.1283,-0.0753,-0.0644,-0.1084
-0.0971,-0.0800,0.0780,-0.0951,-0.0505,-0.1303
-0.1579,-0.1637,0.0876,-0.0449,0.0415,-0.1377
0.1530,0.0736,0.1092,0.0818,0.0611,0.1463
-0.1405,-0.0492,-0.1080,-0.1436,-0.0342,0.1005
0.0862,0.0887,0.1062,0.0669,0.1611,0.1159
0.0741,0.0998,0.0670,0.1039,0.0978,0.1825
-0.0261,0.1681,0.1201,0.1667,0.0525,0.1437
-0.0573,-0.0581,-0.0512,-0.0613,-0.0306,-0.1165
0.0926,-0.0940,-0.1196,-0.0855,-0.0557,-0.1127
0.1284,0.1147,0.0478,0.1130,0.1712,0.0499
0.0061,-0.0101,-0.1540,0.0058,-0.0362,-0.1867
-0.0863,-0.0824,0.0777,-0.0883,-0.0637,-0.1320
-0.1895,0.0549,-0.1443,0.0152,0.0427,-0.1541
-0.0745,-0.0918,0.0554,-0.0911,-0.0471,-0.1258
0.0665,0.0868,0.1388,0.1563,0.0705,0.1061
-0.0927,-0.0868,-0.1229,0.1049,-0.0618,-0.1157
0.0929,0.1017,0.1328,0.0930,0.0756,0.1291
-0.1007,-0.0757,-0.1335,-0.0787,-0.0511,0.0647
0.0120,-0.1544,-0.1201,-0.1623,-0.0522,0.1019
-0.1547,-0.1582,-0.1145,-0.0720,0.0283,0.0961
0.0914,0.1446,0.1317,0.0824,0.0682,0.1067
-0.0784,-0.0836,-0.1346,-0.0838,-0.0661,0.0716
-0.0613,-0.0736,-0.1104,0.0103,-0.0317,-0.1083
-0.0910,-0.0793,-0.1197,0.0981,-0.0586,-0.1245
-0.1627,-0.1684,0.0672,0.0336,0.0225,-0.1673
0.1560,0.0779,0.1357,0.0721,0.0679,0.1154
0.0523,0.0692,0.1005,0.1449,0.1507,0.1074
-0.0437,-0.0372,-0.0677,-0.1477,-0.0147,-0.0640
-0.0959,-0.0765,-0.1347,-0.0915,-0.0500,0.0736
0.0231,0.0097,-0.1105,-0.1596,-0.2024,0.0645
-0.0863,0.0147,-0.0846,-0.0969,-0.0255,-0.0964
-0.0807,-0.0015,-0.0794,-0.0696,-0.0444,-0.0993
0.0479,0.0380,-0.1416,-0.2022,0.0267,-0.1437
0.0322,-0.0568,-0.0998,-0.1470,-0.1915,0.0879
0.0723,0.0861,0.1368,0.1617,0.0525,0.1157
-0.0718,-0.0546,-0.0740,-0.0684,-0.0349,-0.0713
0.0338,0.1567,0.1052,0.1586,0.0446,0.1261
0.0848,0.1544,0.1336,0.0856,0.0582,0.1084
-0.1630,0.0209,-0.1087,0.0161,-0.1955,0.0552
0.0743,0.0679,0.1169,0.0711,0.1627,0.1321
0.1823,0.1723,0.1220,-0.0150,0.0069,0.1565
0.1047,0.1058,0.1329,0.0926,0.0595,0.1294
0.0295,-0.1493,-0.0999,-0.0547,-0.1812,0.0806
0.0707,0.1549,0.1360,0.0781,0.0707,0.1147
-0.0253,-0.0416,-0.0619,-0.0400,-0.0987,-0.1075
0.0958,0.0993,0.1345,0.1003,0.0637,0.1315
0.0847,0.1037,0.1335,0.1032,0.0698,0.1300
-0.0553,-0.0946,-0.0460,-0.0608,-0.1633,0.0450
-0.0445,-0.0410,-0.0718,-0.0492,-0.0998,-0.0688
-0.0786,-0.0855,-0.0392,-0.0882,-0.0769,-0.0066
-0.0697,-0.0889,0.0560,-0.0934,-0.0482,-0.1308
-0.0957,-0.0704,-0.1292,-0.0748,-0.0593,0.0544
0.0935,0.0983,0.1350,0.0995,0.0706,0.1280
0.0548,0.0642,-0.1373,-0.1820,-0.0424,-0.1324
0.0907,0.1009,0.1338,0.0964,0.0720,0.1311
-0.0478,-0.1426,-0.0684,-0.0404,-0.0124,-0.0633
-0.1804,0.0686,-0.1358,0.0346,-0.0186,-0.1434
-0.0919,0.0294,-0.0645,-0.0876,-0.0886,-0.0717
-0.0243,0.1623,0.1277,0.1634,0.0564,0.1395
-0.0727,0.0689,0.0604,-0.1445,-0.1797,-0.1074
-0.0153,-0.1211,-0.0560,-0.1293,0.0026,-0.0560
0.0905,0.0745,0.1185,0.0659,0.1745,0.1011
-0.1988,0.0391,-0.1350,0.0342,0.0273,-0.1419
-0.0843,-0.0733,-0.1329,-0.0763,-0.0718,0.0636
-0.0112,0.1003,0.1448,0.1772,0.0929,0.1209
-0.0917,0.1035,-0.1237,-0.0924,-0.0575,-0.1133
-0.0819,0.0180,-0.1113,-0.0665,-0.0345,-0.0988
0.1537,0.0458,-0.0556,0.1505,0.1081,0.2225
-0.0910,-0.0792,-0.1338,-0.0874,-0.0549,0.0713
0.0504,0.0435,0.1696,0.0265,0.1198,0.2152
0.0736,0.0379,0.0556,0.0640,0.1743,0.2197
0.0924,0.0995,0.1307,0.0952,0.0816,0.1256
0.0448,0.1389,0.1157,0.1432,0.0578,0.1247
0.0083,-0.1007,-0.0783,-0.0975,-0.0049,-0.1019
0.1914,0.0517,0.0535,0.1847,0.0977,0.0459
-0.1647,-0.1825,0.0808,0.0187,0.0292,-0.1565
-0.0977,-0.0811,-0.1229,0.0958,-0.0525,-0.1166
-0.0797,-0.0624,-0.1078,-0.0569,0.0352,-0.1034
-0.0842,-0.0750,-0.1345,-0.0876,-0.0625,0.0687
-0.1707,0.0476,-0.0604,-0.0596,-0.0645,-0.0673
0.0502,-0.2078,-0.1401,0.0383,0.0314,-0.1471
-0.1749,0.0406,0.0645,0.0233,-0.1986,-0.1299
0.0184,-0.1231,-0.0670,-0.1272,-0.1716,0.0955
-0.0015,-0.1674,-0.1277,-0.1742,0.0049,0.0908
0.0336,0.0320,0.1726,0.1883,-0.0105,0.2090
-0.0154,0.0906,0.1286,0.1814,0.0899,0.1499
0.1057,0.1013,0.1208,0.1088,0.0698,0.1187
-0.1341,-0.0229,-0.0578,-0.0220,-0.0838,-0.0544
0.0714,0.1377,0.0977,0.0623,0.1505,0.1054
0.0252,-0.1907,0.0239,-0.0785,-0.0872,-0.0677
0.0691,0.1532,0.1113,0.0757,0.0641,0.1516
-0.1287,-0.1304,0.0603,-0.0814,-0.1818,0.0870
-0.0872,-0.0738,-0.1218,-0.0752,0.0985,-0.1156
-0.0800,-0.0944,-0.0582,0.0240,-0.0857,-0.0806
0.0785,0.1626,0.1226,0.0750,0.0516,0.1347
0.0844,0.0868,0.1191,0.1631,0.0427,0.1290
-0.0888,-0.0782,-0.1367,-0.0812,-0.0645,0.0744
0.1765,-0.0188,0.1215,0.1706,0.0421,0.1333
-0.0650,-0.0525,-0.0788,-0.0552,-0.0492,-0.0744
-0.0135,-0.0399,-0.1094,-0.0138,-0.1203,-0.0782
0.1613,0.0794,0.1386,0.0698,0.0632,0.1127
-0.0646,-0.0769,-0.0411,-0.0391,-0.0756,-0.0777
