Bit 1,Bit 2,Bit 3,Bit 4,Bit 5,Bit 6,Bit 7,Bit 8,Bit 9,Bit 10
8.130270337301587907e-03,-9.797867063492063378e-02,-9.623635912698412509e-02,-1.157986111111111160e-01,2.115730406746031689e-02,-1.195979042658730090e-01,1.035466269841269805e-02,-1.014601934523809562e-01,1.898871527777777754e-03,1.199156746031746108e-02
1.492280505952381028e-02,-9.912264384920635441e-02,-9.792131696428571508e-02,-1.025499131944444392e-01,1.186600942460317408e-02,-1.064468625992063544e-01,1.049417162698412656e-03,-9.135819692460317443e-02,4.013206845238094858e-03,-1.199156746031746108e-02
7.894655257936507645e-03,-9.627356150793650591e-02,-9.722997271825396803e-02,-1.002402653769841334e-01,1.103205605158730229e-02,-1.094757564484127033e-01,-3.142051091269841383e-03,-1.023111979166666657e-01,-1.898871527777777754e-03,1.410590277777777797e-02
1.067708333333333356e-02,-9.617590525793651146e-02,-9.674944196428571230e-02,-9.201853918650793052e-02,2.033730158730158791e-02,-1.035094246031745963e-01,-3.616381448412698575e-03,-9.836464533730158999e-02,-4.013206845238094858e-03,-1.410590277777777797e-02
2.088603670634920501e-02,1.068405877976190410e-01,1.005177331349206282e-01,9.968377976190476164e-02,7.924107142857142461e-03,7.703683035714285754e-02,-1.502976190476190514e-02,1.014601934523809562e-01,1.047867063492063456e-03,2.209356398809523767e-02
4.708116319444444198e-02,1.038256448412698402e-01,9.128224206349205838e-02,1.066344246031745990e-01,1.443297371031746108e-02,9.397166418650793052e-02,-1.038566468253968251e-03,9.135819692460317443e-02,-2.993241567460317668e-03,-2.209356398809523767e-02
1.854383680555555386e-02,1.116908482142857095e-01,9.222780257936508130e-02,1.119140624999999944e-01,6.933593749999999653e-03,8.167317708333333981e-02,-1.983816964285714177e-02,1.023111979166666657e-01,-1.047867063492063456e-03,1.805245535714285546e-02
3.853081597222222238e-02,1.244853670634920584e-01,5.671812996031745831e-03,1.481042286706349131e-01,2.089998759920634955e-02,1.082232762896825351e-01,-6.759982638888889159e-03,9.836464533730158999e-02,2.993241567460317668e-03,-1.805245535714285546e-02
-7.998511904761904535e-04,-1.080186631944444475e-01,1.356956845238095274e-02,-1.233599950396825351e-01,1.932973710317460389e-02,-1.321490575396825351e-01,-1.035466269841269805e-02,-1.268446180555555525e-01,-1.159784226190476233e-02,2.686321924603174600e-03
1.634889632936507853e-02,-1.038225446428571452e-01,-8.557167658730158166e-02,-1.053292410714285754e-01,8.644903273809524322e-03,-1.099748883928571425e-01,-1.049417162698412656e-03,-9.344618055555554970e-02,-6.525917658730158314e-04,-2.686321924603174600e-03
6.208147321428571057e-03,-9.586433531746031689e-02,-8.289620535714285754e-02,-1.014446924603174538e-01,1.001829117063492147e-02,-1.229244171626984183e-01,3.142051091269841383e-03,-1.190073164682539653e-01,1.159784226190476233e-02,1.363157242063492078e-02
4.921564980158730021e-03,-9.589843750000000278e-02,-8.918185763888888951e-02,-9.564267113095238637e-02,1.800130208333333356e-02,-1.088681175595238027e-01,3.616381448412698575e-03,-1.015082465277777762e-01,6.525917658730158314e-04,-1.363157242063492078e-02
3.407428075396825434e-02,1.139028397817460347e-01,1.220439608134920584e-01,1.060810391865079361e-01,5.099826388888888985e-03,-3.293960813492063239e-02,1.502976190476190514e-02,1.268446180555555525e-01,-3.760540674603174687e-03,3.608475942460317304e-02
