L-CORE,L-SURF,L-O2,L-BP,SURF-STBL,CORE-STBL,BP-STBL,COMFORT
0.0744,-0.0838,-0.1554,0.1318,0.0074,-0.0951,-0.0711,-0.1023
0.1248,0.1333,0.1518,0.0273,0.1147,0.0521,0.0747,0.0272
-0.0470,-0.0390,-0.0349,-0.0951,0.0035,-0.0300,-0.0393,-0.0122
-0.0177,0.0369,-0.1268,-0.1578,0.0062,0.1547,-0.1032,-0.0863
0.0357,-0.0500,0.0516,-0.1164,0.0055,-0.0977,-0.0760,-0.0466
-0.0296,-0.0302,0.2018,0.1798,0.1316,0.0731,0.1033,0.0761
0.1763,0.1162,0.0841,0.0644,0.0994,0.0038,0.0656,0.0962
0.0555,0.1185,-0.0744,0.1337,0.0980,0.1820,0.1592,0.0334
-0.0470,-0.1161,-0.1217,0.1867,0.0029,-0.1021,-0.0820,-0.0147
0.2208,0.0283,-0.0752,0.2408,0.0773,0.1016,0.0858,0.0266
-0.1670,-0.0882,0.0046,0.1632,-0.0006,-0.1068,0.0011,-0.1003
0.0292,0.0428,0.0049,-0.1688,0.0079,-0.0306,-0.1145,-0.0650
0.0456,0.0583,-0.1163,-0.0814,-0.0719,-0.0436,-0.0145,-0.0700
-0.0330,-0.1544,-0.0975,0.1846,0.0089,-0.1137,-0.0381,-0.0509
0.1957,0.0572,-0.0279,-0.0222,0.0981,0.2769,0.0549,0.0733
0.0337,0.0464,-0.1250,-0.0933,0.0178,-0.0553,-0.0264,-0.0918
-0.0272,0.0017,0.0357,-0.0487,0.0335,-0.0926,-0.1116,-0.0848
0.0467,0.0259,-0.0940,-0.1499,0.0080,-0.0840,-0.0012,-0.0456
-0.1082,-0.0704,-0.0893,0.1162,-0.0829,-0.0712,0.0697,-0.0579
-0.1735,-0.0291,0.0519,0.1024,0.0108,-0.0917,-0.0790,-0.0860
0.0489,0.2096,0.1057,0.1090,-0.0137,0.0849,0.1284,0.0332
-0.0364,-0.0757,-0.0712,0.0780,0.0157,-0.0643,-0.0055,-0.1346
-0.0700,-0.0715,0.0107,0.1509,-0.0102,-0.1010,-0.1498,-0.0533
0.2260,0.0576,0.1939,0.3234,-0.0100,-0.0303,-0.0474,-0.0072
0.0061,0.0059,-0.0853,-0.0262,0.0255,-0.0842,-0.0929,-0.0428
-0.0059,0.0550,0.0099,-0.0682,0.0039,-0.1072,-0.1369,-0.0448
0.0075,-0.1286,0.0116,-0.0336,-0.0752,-0.0579,0.0831,-0.1010
0.0858,0.0478,0.0245,0.2002,0.1030,0.0591,0.1226,0.0630
0.0040,0.0082,-0.0260,-0.0800,0.0202,-0.1050,-0.1013,-0.0142
0.0337,0.0317,-0.0013,-0.0490,0.0012,-0.1187,-0.1402,-0.0515
0.0477,0.1928,0.1512,0.3398,0.0254,-0.0222,-0.0110,-0.0178
