F1,F2,F3,F4,F5,F6,F7,F8,F9
-2.283296130952380820e-02,-4.652622767857143155e-02,-7.107979910714286309e-02,-6.103515625000000000e-02,-6.189546130952380820e-02,-6.103515625000000000e-02,-7.107979910714286309e-02,-4.652622767857143155e-02,-2.283296130952380820e-02
-2.239583333333333356e-02,-4.565197172619047533e-02,-6.953590029761905211e-02,-6.016090029761905073e-02,-6.145833333333333010e-02,-5.145554315476190410e-02,-1.007859002976190521e-01,-7.623232886904761363e-02,2.283296130952380820e-02
-2.195870535714285546e-02,-4.454520089285714246e-02,-6.842912946428571230e-02,-5.972377232142857262e-02,-5.164620535714285754e-02,-8.159877232142857817e-02,-1.309291294642857262e-01,4.652622767857143155e-02,-5.253906249999999722e-02
-2.098214285714285546e-02,-4.259207589285714246e-02,-6.506231398809524114e-02,-5.777064732142857262e-02,-5.066964285714285754e-02,-5.189267113095238221e-02,-3.046456473214285698e-01,7.623232886904761363e-02,5.253906249999999722e-02
-2.128906250000000069e-02,-4.387555803571428770e-02,-6.775948660714285754e-02,-4.967912946428571647e-02,-8.222656250000000278e-02,-1.121791294642857095e-01,7.107979910714286309e-02,-1.063755580357142877e-01,-5.253906249999999722e-02
-2.031250000000000069e-02,-4.192243303571428770e-02,-6.439267113095238637e-02,-4.772600446428571647e-02,-8.125000000000000278e-02,-8.247302827380952051e-02,1.007859002976190521e-01,-2.800920758928571175e-01,5.253906249999999722e-02
-1.933593750000000069e-02,-3.953218005952380959e-02,-6.200241815476190133e-02,-4.674944196428571647e-02,-5.110677083333333565e-02,-2.571661086309524058e-01,1.309291294642857262e-01,1.063755580357142877e-01,-2.262555803571428548e-01
-1.651785714285714315e-02,-3.389601934523809451e-02,-5.257161458333333565e-02,-4.111328125000000139e-02,-4.828869047619047811e-02,-8.344959077380952051e-02,3.046456473214285698e-01,2.800920758928571175e-01,2.262555803571428548e-01
-2.195870535714285546e-02,-4.521484374999999722e-02,-5.972377232142857262e-02,-8.226841517857143293e-02,-1.141462053571428575e-01,6.103515625000000000e-02,-1.222237723214285726e-01,-6.708984375000000278e-02,-1.325334821428571404e-02
-2.172619047619047533e-02,-4.474981398809523697e-02,-5.888671874999999722e-02,-8.180338541666666574e-02,-1.139136904761904739e-01,5.145554315476190410e-02,-1.318033854166666685e-01,-7.666945684523809867e-02,1.325334821428571404e-02
-2.074962797619047533e-02,-4.235956101190475886e-02,-5.649646577380952606e-02,-8.082682291666666574e-02,-8.377046130952381375e-02,8.159877232142857817e-02,-3.064964657738095122e-01,6.708984375000000278e-02,-2.283296130952380820e-02
-2.031250000000000069e-02,-4.148530505952380959e-02,-5.495256696428571508e-02,-7.995256696428570953e-02,-8.333333333333332871e-02,5.189267113095238221e-02,-3.362025669642856873e-01,7.666945684523809867e-02,2.283296130952380820e-02
-1.933593750000000069e-02,-4.094587053571428770e-02,-5.508277529761904795e-02,-5.024646577380952051e-02,-2.594401041666666852e-01,1.121791294642857095e-01,1.222237723214285726e-01,-2.513625372023809423e-01,-2.283296130952380820e-02
-1.889880952380952259e-02,-4.007161458333333148e-02,-5.353887648809523697e-02,-4.937220982142857123e-02,-2.590029761904761862e-01,8.247302827380952051e-02,1.318033854166666685e-01,-2.810686383928571175e-01,2.283296130952380820e-02
-1.608072916666666505e-02,-3.345889136904761640e-02,-4.692615327380952189e-02,-4.655412946428571369e-02,-8.430989583333332871e-02,2.571661086309524058e-01,3.064964657738095122e-01,2.513625372023809423e-01,-5.253906249999999722e-02
-1.510416666666666678e-02,-3.150576636904761640e-02,-4.355933779761905073e-02,-4.460100446428571369e-02,-8.333333333333332871e-02,8.344959077380952051e-02,3.362025669642856873e-01,2.810686383928571175e-01,5.253906249999999722e-02
