Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9
-3.717912946428571230e-02,-3.717912946428571230e-02,-3.631882440476190410e-02,-3.631882440476190410e-02,-3.717912946428571230e-02,-3.717912946428571230e-02,-3.631882440476190410e-02,-3.717912946428571230e-02,-3.717912946428571230e-02
-3.648158482142856845e-02,-3.648158482142856845e-02,-3.518415178571428908e-02,-3.518415178571428908e-02,-3.648158482142856845e-02,-3.648158482142856845e-02,-7.580915178571429047e-02,-7.710658482142856984e-02,3.717912946428571230e-02
-3.648158482142856845e-02,-3.648158482142856845e-02,-3.518415178571428908e-02,-3.518415178571428908e-02,-3.648158482142856845e-02,-3.648158482142856845e-02,-7.580915178571429047e-02,3.717912946428571230e-02,-7.710658482142856984e-02
-3.517020089285714107e-02,-3.517020089285714107e-02,-3.289620535714285476e-02,-3.289620535714285476e-02,-3.517020089285714107e-02,-3.517020089285714107e-02,-2.797712053571428381e-01,7.710658482142856984e-02,7.710658482142856984e-02
-3.604445684523809729e-02,-3.604445684523809729e-02,-3.541666666666666574e-02,-3.541666666666666574e-02,-3.604445684523809729e-02,-3.604445684523809729e-02,3.631882440476190410e-02,-7.666945684523809867e-02,-7.666945684523809867e-02
-3.419363839285714107e-02,-3.419363839285714107e-02,-3.333333333333333287e-02,-3.333333333333333287e-02,-3.419363839285714107e-02,-3.419363839285714107e-02,7.580915178571429047e-02,-2.810686383928571175e-01,7.666945684523809867e-02
-3.419363839285714107e-02,-3.419363839285714107e-02,-3.333333333333333287e-02,-3.333333333333333287e-02,-3.419363839285714107e-02,-3.419363839285714107e-02,7.580915178571429047e-02,7.666945684523809867e-02,-2.810686383928571175e-01
-2.942243303571428700e-02,-2.942243303571428700e-02,-2.812500000000000069e-02,-2.812500000000000069e-02,-2.942243303571428700e-02,-2.942243303571428700e-02,2.797712053571428381e-01,2.810686383928571175e-01,2.810686383928571175e-01
-3.648158482142856845e-02,-3.648158482142856845e-02,-3.518415178571428908e-02,-7.580915178571429047e-02,-7.710658482142856984e-02,3.717912946428571230e-02,-3.518415178571428908e-02,-3.648158482142856845e-02,-3.648158482142856845e-02
-3.621186755952381098e-02,-3.621186755952381098e-02,-3.393787202380952467e-02,-7.352120535714286309e-02,-7.579520089285714246e-02,3.648158482142856845e-02,-7.352120535714286309e-02,-7.579520089285714246e-02,3.648158482142856845e-02
-3.621186755952381098e-02,-3.621186755952381098e-02,-3.393787202380952467e-02,-7.352120535714286309e-02,-7.579520089285714246e-02,3.648158482142856845e-02,-7.352120535714286309e-02,3.648158482142856845e-02,-7.579520089285714246e-02
-3.640718005952380681e-02,-3.640718005952380681e-02,-3.131510416666666990e-02,-6.777343750000000555e-02,-7.286551339285714246e-02,3.517020089285714107e-02,-2.740234375000000222e-01,7.579520089285714246e-02,7.579520089285714246e-02
-3.523530505952381098e-02,-3.523530505952381098e-02,-3.437500000000000278e-02,-7.395833333333333426e-02,-7.481863839285714246e-02,3.604445684523809729e-02,3.518415178571428908e-02,-7.481863839285714246e-02,-7.481863839285714246e-02
-3.358909970238094927e-02,-3.358909970238094927e-02,-3.229166666666666990e-02,-6.875000000000000555e-02,-7.004743303571428492e-02,3.419363839285714107e-02,7.352120535714286309e-02,-2.762974330357143016e-01,7.481863839285714246e-02
-3.358909970238094927e-02,-3.358909970238094927e-02,-3.229166666666666990e-02,-6.875000000000000555e-02,-7.004743303571428492e-02,3.419363839285714107e-02,7.352120535714286309e-02,7.481863839285714246e-02,-2.762974330357143016e-01
-2.935732886904762057e-02,-2.935732886904762057e-02,-2.708333333333333426e-02,-5.000000000000000278e-02,-5.227399553571428908e-02,2.942243303571428700e-02,2.740234375000000222e-01,2.762974330357143016e-01,2.762974330357143016e-01
-3.648158482142856845e-02,-3.648158482142856845e-02,-3.518415178571428908e-02,-7.580915178571429047e-02,3.717912946428571230e-02,-7.710658482142856984e-02,-3.518415178571428908e-02,-3.648158482142856845e-02,-3.648158482142856845e-02
-3.621186755952381098e-02,-3.621186755952381098e-02,-3.393787202380952467e-02,-7.352120535714286309e-02,3.648158482142856845e-02,-7.579520089285714246e-02,-7.352120535714286309e-02,-7.579520089285714246e-02,3.648158482142856845e-02
-3.621186755952381098e-02,-3.621186755952381098e-02,-3.393787202380952467e-02,-7.352120535714286309e-02,3.648158482142856845e-02,-7.579520089285714246e-02,-7.352120535714286309e-02,3.648158482142856845e-02,-7.579520089285714246e-02
-3.640718005952380681e-02,-3.640718005952380681e-02,-3.131510416666666990e-02,-6.777343750000000555e-02,3.517020089285714107e-02,-7.286551339285714246e-02,-2.740234375000000222e-01,7.579520089285714246e-02,7.579520089285714246e-02
-3.523530505952381098e-02,-3.523530505952381098e-02,-3.437500000000000278e-02,-7.395833333333333426e-02,3.604445684523809729e-02,-7.481863839285714246e-02,3.518415178571428908e-02,-7.481863839285714246e-02,-7.481863839285714246e-02
-3.358909970238094927e-02,-3.358909970238094927e-02,-3.229166666666666990e-02,-6.875000000000000555e-02,3.419363839285714107e-02,-7.004743303571428492e-02,7.352120535714286309e-02,-2.762974330357143016e-01,7.481863839285714246e-02
-3.358909970238094927e-02,-3.358909970238094927e-02,-3.229166666666666990e-02,-6.875000000000000555e-02,3.419363839285714107e-02,-7.004743303571428492e-02,7.352120535714286309e-02,7.481863839285714246e-02,-2.762974330357143016e-01
-2.935732886904762057e-02,-2.935732886904762057e-02,-2.708333333333333426e-02,-5.000000000000000278e-02,2.942243303571428700e-02,-5.227399553571428908e-02,2.740234375000000222e-01,2.762974330357143016e-01,2.762974330357143016e-01
-3.517020089285714107e-02,-3.517020089285714107e-02,-3.289620535714285476e-02,-2.797712053571428381e-01,7.710658482142856984e-02,7.710658482142856984e-02,-3.289620535714285476e-02,-3.517020089285714107e-02,-3.517020089285714107e-02
-3.640718005952380681e-02,-3.640718005952380681e-02,-3.131510416666666990e-02,-2.740234375000000222e-01,7.579520089285714246e-02,7.579520089285714246e-02,-6.777343750000000555e-02,-7.286551339285714246e-02,3.517020089285714107e-02
-3.640718005952380681e-02,-3.640718005952380681e-02,-3.131510416666666990e-02,-2.740234375000000222e-01,7.579520089285714246e-02,7.579520089285714246e-02,-6.777343750000000555e-02,3.517020089285714107e-02,-7.286551339285714246e-02
-4.461960565476190410e-02,-4.461960565476190410e-02,-2.739025297619047603e-02,-2.534319196428571619e-01,7.286551339285714246e-02,7.286551339285714246e-02,-2.534319196428571619e-01,7.286551339285714246e-02,7.286551339285714246e-02
-3.358909970238094927e-02,-3.358909970238094927e-02,-3.229166666666666990e-02,-2.750000000000000222e-01,7.481863839285714246e-02,7.481863839285714246e-02,3.289620535714285476e-02,-7.004743303571428492e-02,-7.004743303571428492e-02
-3.248232886904761640e-02,-3.248232886904761640e-02,-3.020833333333333356e-02,-2.562499999999999778e-01,7.004743303571428492e-02,7.004743303571428492e-02,6.777343750000000555e-02,-2.585239955357143127e-01,7.004743303571428492e-02
-3.248232886904761640e-02,-3.248232886904761640e-02,-3.020833333333333356e-02,-2.562499999999999778e-01,7.004743303571428492e-02,7.004743303571428492e-02,6.777343750000000555e-02,7.004743303571428492e-02,-2.585239955357143127e-01
-3.009207589285714177e-02,-3.009207589285714177e-02,-2.500000000000000139e-02,-1.218749999999999972e-01,5.227399553571428908e-02,5.227399553571428908e-02,2.534319196428571619e-01,2.585239955357143127e-01,2.585239955357143127e-01
-3.604445684523809729e-02,-3.604445684523809729e-02,-3.541666666666666574e-02,3.631882440476190410e-02,-7.666945684523809867e-02,-7.666945684523809867e-02,-3.541666666666666574e-02,-3.604445684523809729e-02,-3.604445684523809729e-02
-3.523530505952381098e-02,-3.523530505952381098e-02,-3.437500000000000278e-02,3.518415178571428908e-02,-7.481863839285714246e-02,-7.481863839285714246e-02,-7.395833333333333426e-02,-7.481863839285714246e-02,3.604445684523809729e-02
-3.523530505952381098e-02,-3.523530505952381098e-02,-3.437500000000000278e-02,3.518415178571428908e-02,-7.481863839285714246e-02,-7.481863839285714246e-02,-7.395833333333333426e-02,3.604445684523809729e-02,-7.481863839285714246e-02
-3.358909970238094927e-02,-3.358909970238094927e-02,-3.229166666666666990e-02,3.289620535714285476e-02,-7.004743303571428492e-02,-7.004743303571428492e-02,-2.750000000000000222e-01,7.481863839285714246e-02,7.481863839285714246e-02
-3.500279017857142738e-02,-3.500279017857142738e-02,-3.451450892857142738e-02,3.541666666666666574e-02,-7.458612351190475886e-02,-7.458612351190475886e-02,3.541666666666666574e-02,-7.458612351190475886e-02,-7.458612351190475886e-02
-3.315197172619047811e-02,-3.315197172619047811e-02,-3.252418154761904656e-02,3.333333333333333287e-02,-6.961030505952381375e-02,-6.961030505952381375e-02,7.395833333333333426e-02,-2.758603050595238027e-01,7.458612351190475886e-02
-3.315197172619047811e-02,-3.315197172619047811e-02,-3.252418154761904656e-02,3.333333333333333287e-02,-6.961030505952381375e-02,-6.961030505952381375e-02,7.395833333333333426e-02,7.458612351190475886e-02,-2.758603050595238027e-01
-2.838076636904762057e-02,-2.838076636904762057e-02,-2.752046130952380890e-02,2.812500000000000069e-02,-5.129743303571428908e-02,-5.129743303571428908e-02,2.750000000000000222e-01,2.758603050595238027e-01,2.758603050595238027e-01
-3.419363839285714107e-02,-3.419363839285714107e-02,-3.333333333333333287e-02,7.580915178571429047e-02,-2.810686383928571175e-01,7.666945684523809867e-02,-3.333333333333333287e-02,-3.419363839285714107e-02,-3.419363839285714107e-02
-3.358909970238094927e-02,-3.358909970238094927e-02,-3.229166666666666990e-02,7.352120535714286309e-02,-2.762974330357143016e-01,7.481863839285714246e-02,-6.875000000000000555e-02,-7.004743303571428492e-02,3.419363839285714107e-02
-3.358909970238094927e-02,-3.358909970238094927e-02,-3.229166666666666990e-02,7.352120535714286309e-02,-2.762974330357143016e-01,7.481863839285714246e-02,-6.875000000000000555e-02,3.419363839285714107e-02,-7.004743303571428492e-02
-3.248232886904761640e-02,-3.248232886904761640e-02,-3.020833333333333356e-02,6.777343750000000555e-02,-2.585239955357143127e-01,7.004743303571428492e-02,-2.562499999999999778e-01,7.004743303571428492e-02,7.004743303571428492e-02
-3.315197172619047811e-02,-3.315197172619047811e-02,-3.252418154761904656e-02,7.395833333333333426e-02,-2.758603050595238027e-01,7.458612351190475886e-02,3.333333333333333287e-02,-6.961030505952381375e-02,-6.961030505952381375e-02
