A0,A1,B0,B1,Irrelevant,Correlated
-1.093750000000000833e-01,-1.093750000000000833e-01,-1.093750000000000139e-01,-1.093750000000000000e-01,1.734723475976807094e-18,0.000000000000000000e+00
-1.093750000000000833e-01,-1.093750000000000833e-01,-1.093750000000000139e-01,-1.093750000000000000e-01,1.734723475976807094e-18,0.000000000000000000e+00
-1.093750000000000833e-01,-1.093750000000000833e-01,-1.093750000000000139e-01,-1.093750000000000000e-01,1.734723475976807094e-18,0.000000000000000000e+00
-1.093750000000000833e-01,-1.093750000000000833e-01,-1.093750000000000139e-01,-1.093750000000000000e-01,1.734723475976807094e-18,0.000000000000000000e+00
-9.895833333333342585e-02,-9.895833333333342585e-02,-3.489583333333334259e-01,1.093749999999999722e-01,5.204170427930421283e-18,0.000000000000000000e+00
-9.895833333333342585e-02,-9.895833333333342585e-02,-3.489583333333334259e-01,1.093749999999999722e-01,5.204170427930421283e-18,0.000000000000000000e+00
-9.895833333333342585e-02,-9.895833333333342585e-02,-3.489583333333334259e-01,1.093749999999999722e-01,5.204170427930421283e-18,0.000000000000000000e+00
-9.895833333333342585e-02,-9.895833333333342585e-02,-3.489583333333334259e-01,1.093749999999999722e-01,5.204170427930421283e-18,0.000000000000000000e+00
-9.895833333333337034e-02,-9.895833333333337034e-02,1.093749999999999445e-01,-3.489583333333334259e-01,5.204170427930421283e-18,0.000000000000000000e+00
-9.895833333333337034e-02,-9.895833333333337034e-02,1.093749999999999445e-01,-3.489583333333334259e-01,5.204170427930421283e-18,0.000000000000000000e+00
-9.895833333333337034e-02,-9.895833333333337034e-02,1.093749999999999445e-01,-3.489583333333334259e-01,5.204170427930421283e-18,0.000000000000000000e+00
-9.895833333333337034e-02,-9.895833333333337034e-02,1.093749999999999445e-01,-3.489583333333334259e-01,5.204170427930421283e-18,0.000000000000000000e+00
-6.770833333333328707e-02,-6.770833333333325932e-02,3.489583333333332593e-01,3.489583333333332593e-01,1.214306433183764966e-17,0.000000000000000000e+00
-6.770833333333328707e-02,-6.770833333333325932e-02,3.489583333333332593e-01,3.489583333333332593e-01,1.214306433183764966e-17,0.000000000000000000e+00
-6.770833333333328707e-02,-6.770833333333325932e-02,3.489583333333332593e-01,3.489583333333332593e-01,1.214306433183764966e-17,0.000000000000000000e+00
-6.770833333333328707e-02,-6.770833333333325932e-02,3.489583333333332593e-01,3.489583333333332593e-01,1.214306433183764966e-17,0.000000000000000000e+00
-3.489583333333334814e-01,1.093749999999998890e-01,-9.895833333333334259e-02,-9.895833333333332871e-02,5.204170427930421283e-18,0.000000000000000000e+00
-3.489583333333334814e-01,1.093749999999998890e-01,-9.895833333333334259e-02,-9.895833333333332871e-02,5.204170427930421283e-18,0.000000000000000000e+00
-3.489583333333334814e-01,1.093749999999998890e-01,-9.895833333333334259e-02,-9.895833333333332871e-02,5.204170427930421283e-18,0.000000000000000000e+00
-3.489583333333334814e-01,1.093749999999998890e-01,-9.895833333333334259e-02,-9.895833333333332871e-02,5.204170427930421283e-18,0.000000000000000000e+00
-3.177083333333333148e-01,9.895833333333321769e-02,-3.177083333333334259e-01,9.895833333333330095e-02,5.204170427930421283e-18,0.000000000000000000e+00
-3.177083333333333148e-01,9.895833333333321769e-02,-3.177083333333334259e-01,9.895833333333330095e-02,5.204170427930421283e-18,0.000000000000000000e+00
-3.177083333333333148e-01,9.895833333333321769e-02,-3.177083333333334259e-01,9.895833333333330095e-02,5.204170427930421283e-18,0.000000000000000000e+00
-3.177083333333333148e-01,9.895833333333321769e-02,-3.177083333333334259e-01,9.895833333333330095e-02,5.204170427930421283e-18,0.000000000000000000e+00
-3.177083333333333148e-01,9.895833333333330095e-02,9.895833333333328707e-02,-3.177083333333334259e-01,5.204170427930421283e-18,0.000000000000000000e+00
-3.177083333333333148e-01,9.895833333333330095e-02,9.895833333333328707e-02,-3.177083333333334259e-01,5.204170427930421283e-18,0.000000000000000000e+00
-3.177083333333333148e-01,9.895833333333330095e-02,9.895833333333328707e-02,-3.177083333333334259e-01,5.204170427930421283e-18,0.000000000000000000e+00
-3.177083333333333148e-01,9.895833333333330095e-02,9.895833333333328707e-02,-3.177083333333334259e-01,5.204170427930421283e-18,0.000000000000000000e+00
-1.406249999999999167e-01,6.770833333333335646e-02,3.177083333333333148e-01,3.177083333333334814e-01,1.214306433183764966e-17,0.000000000000000000e+00
-1.406249999999999167e-01,6.770833333333335646e-02,3.177083333333333148e-01,3.177083333333334814e-01,1.214306433183764966e-17,0.000000000000000000e+00
-1.406249999999999167e-01,6.770833333333335646e-02,3.177083333333333148e-01,3.177083333333334814e-01,1.214306433183764966e-17,0.000000000000000000e+00
-1.406249999999999167e-01,6.770833333333335646e-02,3.177083333333333148e-01,3.177083333333334814e-01,1.214306433183764966e-17,0.000000000000000000e+00
1.093749999999998751e-01,-3.489583333333335369e-01,-9.895833333333335646e-02,-9.895833333333335646e-02,3.469446951953614189e-18,0.000000000000000000e+00
1.093749999999998751e-01,-3.489583333333335369e-01,-9.895833333333335646e-02,-9.895833333333335646e-02,3.469446951953614189e-18,0.000000000000000000e+00
1.093749999999998751e-01,-3.489583333333335369e-01,-9.895833333333335646e-02,-9.895833333333335646e-02,3.469446951953614189e-18,0.000000000000000000e+00
1.093749999999998751e-01,-3.489583333333335369e-01,-9.895833333333335646e-02,-9.895833333333335646e-02,3.469446951953614189e-18,0.000000000000000000e+00
