Bit-0,Bit-1,Bit-2,Bit-3,Bit-4,Bit-5,Bit-6,Bit-7,Bit-8,Bit-9
2.775557561562891351e-17,3.469446951953614189e-17,-1.156428571428573110e-01,-1.171428571428570486e-01,-9.547619047619049226e-02,-8.547619047619045562e-02,-1.086428571428567913e-01,-9.580952380952371950e-02,-1.318095238095240151e-01,0.000000000000000000e+00
2.775557561562891351e-17,3.469446951953614189e-17,-1.156428571428573110e-01,-1.171428571428570486e-01,-9.547619047619049226e-02,-8.547619047619045562e-02,-1.086428571428567913e-01,-9.580952380952371950e-02,-1.318095238095240151e-01,0.000000000000000000e+00
-1.387778780781445676e-17,-4.683753385137379155e-17,-2.838333333333326047e-01,-1.291666666666666519e-01,-1.176666666666666694e-01,-1.121666666666667755e-01,-1.138333333333330089e-01,-1.199999999999998984e-01,1.266666666666664554e-01,0.000000000000000000e+00
-1.387778780781445676e-17,-4.683753385137379155e-17,-2.838333333333326047e-01,-1.291666666666666519e-01,-1.176666666666666694e-01,-1.121666666666667755e-01,-1.138333333333330089e-01,-1.199999999999998984e-01,1.266666666666664554e-01,0.000000000000000000e+00
2.775557561562891351e-17,3.642919299551294898e-17,-1.405952380952379677e-01,-1.479285714285715203e-01,-1.369285714285713440e-01,-1.260952380952379825e-01,-1.327619047619043868e-01,9.540476190476201990e-02,-1.610952380952383189e-01,0.000000000000000000e+00
2.775557561562891351e-17,3.642919299551294898e-17,-1.405952380952379677e-01,-1.479285714285715203e-01,-1.369285714285713440e-01,-1.260952380952379825e-01,-1.327619047619043868e-01,9.540476190476201990e-02,-1.610952380952383189e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.734723475976807094e-18,-2.366666666666664698e-01,-2.125000000000004108e-01,-2.098333333333335105e-01,-1.863333333333332675e-01,-1.875000000000002220e-01,1.283333333333334103e-01,1.544999999999997209e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.734723475976807094e-18,-2.366666666666664698e-01,-2.125000000000004108e-01,-2.098333333333335105e-01,-1.863333333333332675e-01,-1.875000000000002220e-01,1.283333333333334103e-01,1.544999999999997209e-01,0.000000000000000000e+00
1.387778780781445676e-17,-2.775557561562891351e-17,-1.235000000000001374e-01,-2.811666666666669534e-01,-1.221666666666666040e-01,-1.055000000000001908e-01,1.454999999999999349e-01,-1.268333333333330759e-01,-1.363333333333334174e-01,0.000000000000000000e+00
1.387778780781445676e-17,-2.775557561562891351e-17,-1.235000000000001374e-01,-2.811666666666669534e-01,-1.221666666666666040e-01,-1.055000000000001908e-01,1.454999999999999349e-01,-1.268333333333330759e-01,-1.363333333333334174e-01,0.000000000000000000e+00
5.551115123125782702e-17,-8.673617379884035472e-18,-2.293095238095238242e-01,-2.311428571428569556e-01,-1.981428571428573149e-01,-1.799761904761904285e-01,1.503571428571426061e-01,-1.939761904761909406e-01,1.321904761904762193e-01,0.000000000000000000e+00
5.551115123125782702e-17,-8.673617379884035472e-18,-2.293095238095238242e-01,-2.311428571428569556e-01,-1.981428571428573149e-01,-1.799761904761904285e-01,1.503571428571426061e-01,-1.939761904761909406e-01,1.321904761904762193e-01,0.000000000000000000e+00
-4.163336342344337027e-17,-2.602085213965210642e-17,-2.102142857142856314e-01,-2.367142857142858769e-01,-1.980476190476189446e-01,-1.868809523809522588e-01,1.759523809523806381e-01,1.189523809523811426e-01,-2.130476190476192910e-01,0.000000000000000000e+00
-4.163336342344337027e-17,-2.602085213965210642e-17,-2.102142857142856314e-01,-2.367142857142858769e-01,-1.980476190476189446e-01,-1.868809523809522588e-01,1.759523809523806381e-01,1.189523809523811426e-01,-2.130476190476192910e-01,0.000000000000000000e+00
2.775557561562891351e-17,2.255140518769849223e-17,-1.136666666666665826e-01,-1.159999999999996451e-01,-9.949999999999989408e-02,-9.083333333333330761e-02,2.369999999999993501e-01,2.146666666666662004e-01,2.183333333333329629e-01,0.000000000000000000e+00
