Address bit 1,Address bit 2,Bit 0,Bit 1,Bit 2,Bit 3
-3.645833333333417525e-03,-3.645833333333367218e-03,-2.953125000000001443e-01,-8.697916666666666297e-02,-8.697916666666667684e-02,-3.906250000000001388e-02
-4.427083333333330095e-02,-4.427083333333332871e-02,-2.942708333333334259e-01,-8.593749999999998612e-02,-8.593750000000000000e-02,3.906250000000000000e-02
-2.140625000000000999e-01,3.593749999999992784e-02,-2.973958333333334703e-01,-8.906250000000000278e-02,8.697916666666664909e-02,-3.802083333333333703e-02
-2.536458333333333481e-01,-3.645833333333311707e-03,-2.953125000000000888e-01,-8.697916666666666297e-02,8.593750000000001388e-02,3.802083333333333703e-02
3.593749999999998335e-02,-2.140624999999999611e-01,-2.973958333333334147e-01,8.697916666666666297e-02,-8.906250000000000278e-02,-3.802083333333333703e-02
-3.645833333333195481e-03,-2.536458333333333481e-01,-2.953125000000000888e-01,8.593750000000002776e-02,-8.697916666666666297e-02,3.802083333333332316e-02
-1.776041666666665630e-01,-1.776041666666666463e-01,-3.026041666666667296e-01,8.906250000000001665e-02,8.906250000000000278e-02,-3.593749999999999722e-02
-2.140624999999999334e-01,-2.140624999999999334e-01,-2.973958333333334703e-01,8.697916666666669072e-02,8.697916666666670460e-02,3.593749999999999722e-02
2.026041666666665853e-01,2.026041666666665020e-01,2.953125000000000333e-01,-8.906250000000001665e-02,-8.906250000000001665e-02,-3.802083333333333703e-02
1.630208333333332815e-01,1.630208333333332260e-01,2.942708333333333703e-01,-8.697916666666666297e-02,-8.697916666666669072e-02,3.802083333333330928e-02
-1.093749999999994726e-02,2.390624999999997891e-01,2.973958333333333592e-01,-9.427083333333335924e-02,8.906249999999998890e-02,-3.593750000000001110e-02
-4.739583333333317883e-02,2.026041666666666130e-01,2.953125000000000888e-01,-8.906250000000001665e-02,8.697916666666666297e-02,3.593749999999998335e-02
2.390624999999999001e-01,-1.093750000000005135e-02,2.973958333333333037e-01,8.906250000000001665e-02,-9.427083333333338699e-02,-3.593750000000001110e-02
2.026041666666665297e-01,-4.739583333333330373e-02,2.953124999999999223e-01,8.697916666666666297e-02,-8.906250000000001665e-02,3.593749999999998335e-02
1.197916666666670737e-02,1.197916666666660676e-02,3.026041666666665630e-01,9.427083333333338699e-02,9.427083333333333148e-02,-3.072916666666666852e-02
-1.093749999999986400e-02,-1.093750000000005135e-02,2.973958333333332482e-01,8.906250000000001665e-02,8.906250000000001665e-02,3.072916666666666505e-02
-5.729166666666743457e-03,3.645833333333316911e-03,-8.906250000000003053e-02,-2.973958333333334147e-01,-4.739583333333335924e-02,-7.968750000000000833e-02
-2.119791666666666630e-01,4.427083333333331483e-02,-8.697916666666666297e-02,-2.953125000000000888e-01,-4.531250000000000555e-02,7.968749999999999445e-02
-5.260416666666652141e-02,-3.593750000000002498e-02,-9.427083333333335924e-02,-3.026041666666667296e-01,4.739583333333333148e-02,-7.760416666666665464e-02
-2.557291666666666741e-01,3.645833333333358545e-03,-8.906249999999997502e-02,-2.973958333333334147e-01,4.531250000000001943e-02,7.760416666666666852e-02
1.973958333333332427e-01,2.140625000000000167e-01,-9.427083333333334536e-02,2.973958333333333592e-01,-5.260416666666670182e-02,-7.760416666666666852e-02
-5.729166666666410390e-03,2.536458333333332371e-01,-8.906250000000003053e-02,2.953125000000000333e-01,-4.739583333333335924e-02,7.760416666666666852e-02
1.369791666666664853e-01,1.776041666666667296e-01,-1.130208333333333898e-01,3.026041666666666741e-01,5.260416666666671570e-02,-7.239583333333332593e-02
-5.260416666666654917e-02,2.140624999999999056e-01,-9.427083333333340087e-02,2.973958333333333592e-01,4.739583333333340087e-02,7.239583333333332593e-02
3.072916666666675178e-02,-2.026041666666666963e-01,8.906249999999996114e-02,-3.026041666666667296e-01,-5.260416666666668795e-02,-7.760416666666666852e-02
-1.723958333333331927e-01,-1.630208333333333093e-01,8.697916666666660745e-02,-2.973958333333334147e-01,-4.739583333333334536e-02,7.760416666666666852e-02
-2.968749999999979738e-02,-2.390625000000000666e-01,9.427083333333327597e-02,-3.213541666666667740e-01,5.260416666666667407e-02,-7.239583333333333981e-02
-2.192708333333332482e-01,-2.026041666666666408e-01,8.906249999999998890e-02,-3.026041666666667851e-01,4.739583333333335924e-02,7.239583333333335369e-02
2.203124999999999112e-01,1.093749999999999931e-02,9.427083333333333148e-02,3.026041666666666186e-01,-7.135416666666669072e-02,-7.239583333333335369e-02
3.072916666666689056e-02,4.739583333333328985e-02,8.906250000000001665e-02,2.973958333333333037e-01,-5.260416666666670182e-02,7.239583333333332593e-02
4.427083333333356463e-02,-1.197916666666665880e-02,1.130208333333333481e-01,3.213541666666666075e-01,7.135416666666666297e-02,-5.364583333333332316e-02
-2.968749999999974187e-02,1.093749999999999931e-02,9.427083333333330373e-02,3.026041666666666741e-01,5.260416666666675733e-02,5.364583333333333703e-02
3.645833333333223236e-03,-5.729166666666698354e-03,-8.906250000000004441e-02,-4.739583333333333842e-02,-2.973958333333334147e-01,-7.968750000000000833e-02
4.427083333333332177e-02,-2.119791666666666907e-01,-8.697916666666666297e-02,-4.531249999999999167e-02,-2.953125000000000888e-01,7.968749999999999445e-02
2.140624999999998224e-01,1.973958333333331594e-01,-9.427083333333335924e-02,-5.260416666666669488e-02,2.973958333333333037e-01,-7.760416666666665464e-02
2.536458333333332371e-01,-5.729166666666708763e-03,-8.906250000000001665e-02,-4.739583333333335230e-02,2.953124999999998668e-01,7.760416666666666852e-02
-3.593749999999996947e-02,-5.260416666666665325e-02,-9.427083333333333148e-02,4.739583333333333842e-02,-3.026041666666667296e-01,-7.760416666666666852e-02
3.645833333333459159e-03,-2.557291666666666741e-01,-8.906249999999998890e-02,4.531250000000002637e-02,-2.973958333333334147e-01,7.760416666666666852e-02
1.776041666666665630e-01,1.369791666666666796e-01,-1.130208333333334036e-01,5.260416666666669488e-02,3.026041666666666741e-01,-7.239583333333333981e-02
2.140624999999999889e-01,-5.260416666666665325e-02,-9.427083333333341475e-02,4.739583333333336618e-02,2.973958333333332482e-01,7.239583333333332593e-02
-2.026041666666667240e-01,3.072916666666658525e-02,8.906250000000001665e-02,-5.260416666666667407e-02,-3.026041666666667296e-01,-7.760416666666666852e-02
-1.630208333333331983e-01,-1.723958333333333592e-01,8.697916666666666297e-02,-4.739583333333333148e-02,-2.973958333333334147e-01,7.760416666666666852e-02
1.093750000000028033e-02,2.203124999999998002e-01,9.427083333333333148e-02,-7.135416666666669072e-02,3.026041666666666741e-01,-7.239583333333333981e-02
4.739583333333364373e-02,3.072916666666667546e-02,8.906250000000001665e-02,-5.260416666666666713e-02,2.973958333333331927e-01,7.239583333333332593e-02
-2.390625000000000389e-01,-2.968749999999997086e-02,9.427083333333338699e-02,5.260416666666666713e-02,-3.213541666666667185e-01,-7.239583333333333981e-02
-2.026041666666666130e-01,-2.192708333333332760e-01,8.906250000000004441e-02,4.739583333333335230e-02,-3.026041666666667296e-01,7.239583333333332593e-02
-1.197916666666647145e-02,4.427083333333332871e-02,1.130208333333333481e-01,7.135416666666669072e-02,3.213541666666666630e-01,-5.364583333333334397e-02
1.093750000000029421e-02,-2.968749999999997433e-02,9.427083333333333148e-02,5.260416666666668101e-02,3.026041666666666186e-01,5.364583333333333010e-02
5.729166666666549168e-03,5.729166666666649782e-03,-5.260416666666671570e-02,-9.427083333333333148e-02,-9.427083333333335924e-02,-2.859375000000000111e-01
2.119791666666665797e-01,2.119791666666665797e-01,-4.739583333333338699e-02,-8.906250000000001665e-02,-8.906250000000001665e-02,2.859375000000001221e-01
5.260416666666670182e-02,-1.973958333333333814e-01,-7.135416666666671848e-02,-1.130208333333333481e-01,9.427083333333333148e-02,-2.807291666666666963e-01
2.557291666666665630e-01,5.729166666666635904e-03,-5.260416666666670876e-02,-9.427083333333335924e-02,8.906250000000001665e-02,2.807291666666666408e-01
-1.973958333333333537e-01,5.260416666666663937e-02,-7.135416666666667684e-02,9.427083333333335924e-02,-1.130208333333333481e-01,-2.807291666666666963e-01
5.729166666666785090e-03,2.557291666666665630e-01,-5.260416666666670876e-02,8.906250000000004441e-02,-9.427083333333338699e-02,2.807291666666667518e-01
-1.369791666666667351e-01,-1.369791666666666519e-01,-2.057291666666667129e-01,1.130208333333333481e-01,1.130208333333333204e-01,-2.619791666666666519e-01
5.260416666666663937e-02,5.260416666666651447e-02,-7.135416666666671848e-02,9.427083333333335924e-02,9.427083333333338699e-02,2.619791666666666519e-01
-3.072916666666657137e-02,-3.072916666666666505e-02,5.260416666666666713e-02,-1.130208333333333481e-01,-1.130208333333333481e-01,-2.807291666666666963e-01
1.723958333333332482e-01,1.723958333333332482e-01,4.739583333333329679e-02,-9.427083333333335924e-02,-9.427083333333335924e-02,2.807291666666667518e-01
2.968750000000005412e-02,-2.203125000000000777e-01,7.135416666666669072e-02,-2.473958333333333426e-01,1.130208333333332926e-01,-2.619791666666666519e-01
