Bit 1,Bit 2,Bit 3,Bit 4,Bit 5,Bit 6,Bit 7,Bit 8,Bit 9,Bit 10
1.139285714285679513e-02,-1.538452380952383403e-01,-1.115952380952381084e-01,-1.319523809523808211e-01,1.502380952380952608e-02,-9.705952380952383163e-02,6.547619047619001806e-04,-1.138928571428570458e-01,5.297619047619029319e-03,1.597619047619044941e-02
1.345238095238111831e-02,-1.518015873015877149e-01,-1.079603174603177007e-01,-1.174325396825396522e-01,8.043650793650766045e-03,-8.683730158730158799e-02,-5.146825396825404839e-03,-1.016547619047617895e-01,5.825396825396812577e-03,-1.648809523809524266e-02
6.976190476190240186e-03,-1.494285714285717714e-01,-1.083571428571428880e-01,-1.161190476190475246e-01,7.880952380952412073e-03,-8.821428571428564791e-02,-8.357142857142861592e-03,-1.114047619047617566e-01,-8.976190476190481354e-03,1.599999999999998299e-02
6.281746031746270054e-03,-1.458253968253971355e-01,-1.051587301587303819e-01,-1.079087301587301484e-01,1.778174603174605822e-02,-8.440873015873004426e-02,-8.230158730158736863e-03,-1.074682539682539212e-01,-8.523809523809534189e-03,-1.653968253968254865e-02
2.377380952381032836e-02,5.848809523809458955e-02,8.132142857142886372e-02,7.409523809523808902e-02,2.916666666666677642e-03,9.038095238095224249e-02,-1.801190476190475676e-02,9.309523809523807814e-02,5.738095238095221838e-03,2.820238095238089202e-02
4.840476190476117324e-02,5.860714285714235805e-02,7.886904761904793559e-02,8.623809523809509991e-02,1.227380952380949242e-02,1.060357142857142609e-01,-6.511904761904758684e-03,8.228571428571426760e-02,1.107142857142840407e-03,-2.730952380952381478e-02
1.741666666666700364e-02,6.494047619047550735e-02,7.844047619047642139e-02,8.748809523809528144e-02,4.380952380952368198e-03,9.701190476190459100e-02,-2.196428571428572091e-02,9.620238095238092813e-02,-7.916666666666663868e-03,2.399999999999996927e-02
3.693253968253967789e-02,8.273015873015836241e-02,-3.476190476190447846e-03,1.246825396825394783e-01,2.049206349206350239e-02,1.219206349206349016e-01,-1.232936507936511009e-02,8.914682539682536322e-02,-5.674603174603146463e-04,-1.953174603174602508e-02
1.035714285714202376e-03,-1.680952380952384917e-01,-1.869047619047472554e-03,-1.398095238095236614e-01,1.164285714285715964e-02,-1.108571428571429457e-01,-1.902380952380956086e-02,-1.357380952380953243e-01,-5.952380952380967663e-03,8.666666666666652391e-03
1.326587301587305034e-02,-1.607460317460324140e-01,-9.297222222222240040e-02,-1.191746031746030443e-01,1.575396825396841761e-03,-9.231746031746031200e-02,-4.654761904761935826e-03,-1.038531746031744613e-01,2.503968253968243650e-03,-3.626984126984113092e-03
3.297619047618847998e-03,-1.526190476190481538e-01,-9.299999999999997158e-02,-1.163452380952379600e-01,5.583333333333354194e-03,-1.012261904761904280e-01,-1.678571428571413830e-03,-1.263928571428570569e-01,6.130952380952392304e-03,1.624999999999999709e-02
-2.047619047618701171e-03,-1.494285714285720212e-01,-9.532142857142855696e-02,-1.086190476190475318e-01,1.290476190476194315e-02,-9.066666666666657604e-02,9.523809523809502117e-04,-1.108333333333332837e-01,-3.154761904761911075e-03,-1.378571428571428656e-02
3.602380952380972862e-02,5.764285714285664886e-02,1.020238095238101134e-01,8.057142857142861325e-02,-1.988095238095154323e-03,-9.714285714285675333e-03,1.036904761904762842e-02,1.193095238095238653e-01,1.904761904761827565e-04,4.557142857142851972e-02
1.190992063492063435e-01,3.742063492063441021e-02,8.184523809523856774e-02,7.984920634920633642e-02,-1.034126984126979183e-02,8.778968253968261193e-02,-1.210317460317465385e-03,8.489682539682533169e-02,-6.329365079365084808e-03,-3.301984126984131018e-02
1.939285714285674672e-02,6.936904761904683081e-02,9.241666666666718821e-02,9.508333333333339465e-02,5.714285714285812293e-04,-4.702380952380940532e-03,1.817857142857142241e-02,1.146785714285714491e-01,-1.702380952380943939e-03,3.671428571428565074e-02
3.404761904761029190e-03,7.582142857142813719e-02,6.750000000000062894e-02,1.140833333333331062e-01,2.999999999999965368e-03,9.615476190476192342e-02,6.678571428571420006e-03,9.560714285714277949e-02,5.702380952380966574e-03,-2.795238095238098200e-02
2.536904761904777011e-02,7.245238095238058784e-02,-1.166666666666601494e-03,1.023690476190475263e-01,1.852380952380950144e-02,1.098095238095238430e-01,-1.082142857142856171e-02,8.399999999999999134e-02,1.449999999999997818e-02,2.496428571428569235e-02
1.537301587301526107e-02,6.577777777777768509e-02,8.488492063492086848e-02,1.082301587301587181e-01,2.849206349206345225e-03,9.733333333333325788e-02,-9.960317460317476626e-03,9.707539682539688408e-02,8.634920634920627280e-03,-3.019841269841268619e-02
1.198809523809477723e-02,6.827380952380923684e-02,8.772619047619070742e-02,1.097619047619046301e-01,5.202380952380973068e-03,9.839285714285718465e-02,-2.017857142857142072e-02,8.095238095238091458e-02,-2.003571428571425395e-02,1.791666666666665367e-02
5.357142857142845049e-03,6.705952380952379110e-02,9.317857142857167985e-02,1.228809523809523407e-01,3.488095238095277086e-03,9.461904761904758876e-02,-1.426190476190476383e-02,1.007380952380952516e-01,-1.085714285714286034e-02,-2.220238095238099077e-02
3.713095238095176498e-02,-1.000000000000001305e-01,-1.090952380952380923e-01,-1.080357142857144015e-01,-2.059523809523807099e-03,-1.069761904761903359e-01,-1.113809523809523166e-01,-1.132380952380952627e-01,1.208333333333331400e-02,4.157142857142848841e-02
5.101190476190466117e-02,-1.090714285714284720e-01,-1.092500000000002081e-01,-9.291666666666677232e-02,-5.309523809523835139e-03,-1.192499999999998700e-01,-2.448809523809526018e-02,-1.284404761904762715e-01,1.958333333333328943e-02,-4.186904761904760436e-02
2.522619047619021476e-02,-9.736904761904772998e-02,-9.967857142857125541e-02,-8.873809523809539357e-02,-3.107142857142860832e-03,-1.105833333333331864e-01,-1.163809523809523766e-01,-1.056428571428571356e-01,-1.180952380952380448e-02,4.808333333333327658e-02
2.211904761904823907e-02,-1.045992063492060253e-01,-1.290873015873016394e-01,2.016269841269839602e-02,-9.694444444444456910e-03,-1.326230158730158648e-01,-3.631349206349208242e-02,-1.362182539682540716e-01,-1.134920634920635191e-02,-4.239682539682541190e-02
2.408730158730174736e-02,6.785714285714269933e-02,1.182301587301585466e-01,1.553571428571413893e-02,9.801190476190481393e-02,1.202222222222221470e-01,-6.289682539682549950e-03,-2.618253968253964406e-02,2.218253968253965612e-03,2.630952380952380695e-02
1.216666666666592345e-02,6.134920634920600080e-02,1.036309523809526706e-01,9.984920634920632643e-02,6.587301587301618196e-03,9.896825396825388588e-02,-2.353174603174631313e-03,8.217063492063507446e-02,3.408730158730148389e-03,-2.577777777777776405e-02
1.626587301587204687e-02,7.489682539682482321e-02,1.112063492063491421e-01,1.076825396825397407e-01,9.825396825396792710e-03,1.102301587301587199e-01,1.134920634920634844e-02,-2.188888888888885706e-02,-5.321428571428560295e-03,2.575396825396823394e-02
-7.666666666667557029e-03,6.927380952380914059e-02,1.025476190476194288e-01,1.204285714285714126e-01,4.488095238095284913e-03,9.833333333333323101e-02,4.892857142857135432e-03,7.897619047619058863e-02,-4.535714285714278343e-03,-2.673809523809525870e-02
1.469761904761892335e-01,-5.357142857142761783e-03,7.261904761904176484e-04,-2.851190476190474180e-02,5.047619047619095016e-03,8.250000000000059369e-03,1.323214285714282568e-01,1.575000000000002440e-02,4.178571428571419520e-03,1.606190476190470506e-01
5.709523809523753962e-02,-1.041309523809522825e-01,-8.723809523809518407e-02,-9.213095238095232731e-02,-8.416666666666655638e-03,-1.037499999999998701e-01,1.455952380952379652e-02,-1.119047619047618958e-01,3.392857142857121956e-03,-1.274761904761904929e-01
