F1,F2,F3,F4,F5,F6,F7,F8,F9
-2.333333333333328236e-02,-3.785714285714276289e-02,-7.011904761904752537e-02,-6.142857142857134634e-02,-4.833333333333333925e-02,-4.702380952380949553e-02,-7.761904761904762917e-02,-6.226190476190478218e-02,-3.202380952380949608e-02
-2.307142857142855524e-02,-3.685714285714281752e-02,-6.849999999999990818e-02,-6.066666666666660490e-02,-4.783333333333332493e-02,-3.714285714285717882e-02,-1.084999999999999853e-01,-9.314285714285713835e-02,1.571428571428572576e-02
-2.316666666666663404e-02,-3.716666666666660485e-02,-6.866666666666661201e-02,-6.049999999999997047e-02,-4.233333333333338944e-02,-6.533333333333334048e-02,-1.361666666666666026e-01,3.833333333333331649e-02,-6.499999999999997446e-02
-2.269047619047619840e-02,-3.540476190476189722e-02,-6.540476190476188223e-02,-5.857142857142855208e-02,-4.121428571428574494e-02,-4.004761904761906105e-02,-2.995714285714281555e-01,6.380952380952367720e-02,3.909523809523810650e-02
-2.188095238095232736e-02,-3.555952380952372149e-02,-6.629761904761892477e-02,-5.239285714285703277e-02,-6.398809523809527444e-02,-8.875000000000003719e-02,7.375000000000002387e-02,-1.309642857142857830e-01,-7.391666666666668606e-02
-2.133333333333329446e-02,-3.361904761904754846e-02,-6.245238095238084264e-02,-4.995238095238085929e-02,-6.259523809523809268e-02,-6.202380952380950885e-02,1.065714285714285531e-01,-3.121190476190478513e-01,3.752380952380954260e-02
-2.095238095238090986e-02,-3.338095238095238615e-02,-6.238095238095236333e-02,-5.002380952380945656e-02,-4.195238095238097709e-02,-2.132142857142856895e-01,1.409523809523810234e-01,9.538095238095231632e-02,-2.744285714285715772e-01
-1.903571428571410734e-02,-2.844047619047607167e-02,-5.267857142857135938e-02,-4.360714285714282351e-02,-3.842857142857142305e-02,-6.694047619047616138e-02,3.358928571428574927e-01,2.652261904761901712e-01,1.880119047619050188e-01
-2.294047619047611536e-02,-3.684523809523801430e-02,-5.791666666666657470e-02,-7.884523809523802385e-02,-8.921428571428577370e-02,5.089285714285719797e-02,-1.220833333333332660e-01,-8.358333333333330117e-02,-1.946428571428570481e-02
-2.282142857142852727e-02,-3.624999999999995587e-02,-5.708333333333326376e-02,-7.848809523809517630e-02,-8.897619047619056976e-02,4.089285714285716133e-02,-1.320833333333332194e-01,-9.358333333333329618e-02,8.392857142857142877e-03
-2.259523809523809185e-02,-3.545238095238095050e-02,-5.604761904761903363e-02,-7.788095238095235628e-02,-6.811904761904766237e-02,7.061904761904752581e-02,-2.935476190476186131e-01,5.504761904761903968e-02,-3.202380952380950302e-02
-2.240476190476189261e-02,-3.452380952380951912e-02,-5.449999999999994432e-02,-7.699999999999995737e-02,-6.761904761904764805e-02,3.966666666666665564e-02,-3.244999999999995111e-01,6.504761904761899305e-02,1.583333333333335896e-02
-2.059523809523807619e-02,-3.309523809523811505e-02,-5.321428571428570009e-02,-5.188095238095227768e-02,-2.169285714285710542e-01,1.032857142857141752e-01,1.234047619047618366e-01,-2.753809523809523929e-01,-3.559523809523809645e-02
-2.040476190476184920e-02,-3.213095238095239198e-02,-5.144047619047617537e-02,-5.077380952380944334e-02,-2.162976190476186833e-01,6.922619047619052446e-02,1.362023809523809081e-01,-3.094404761904764323e-01,1.505952380952383513e-02
-1.847619047619025040e-02,-2.811904761904749153e-02,-4.728571428571421570e-02,-4.914285714285704376e-02,-6.854761904761899616e-02,2.650476190476187544e-01,3.258809523809526598e-01,2.371904761904760073e-01,-7.654761904761900326e-02
-1.792857142857114117e-02,-2.621428571428552345e-02,-4.354761904761890456e-02,-4.661904761904751143e-02,-6.719047619047610609e-02,6.628571428571422564e-02,3.644761904761905091e-01,2.698809523809523880e-01,4.085714285714284882e-02
-2.326190476190471285e-02,-2.933333333333325993e-02,-9.133333333333328030e-02,-1.061666666666667286e-01,4.976190476190478496e-02,-8.600000000000004863e-02,-9.133333333333328030e-02,-5.116666666666669361e-02,-3.116666666666664809e-02
-2.299999999999997186e-02,-2.859523809523804166e-02,-8.892857142857142627e-02,-1.046190476190476809e-01,4.890476190476190921e-02,-7.628571428571435942e-02,-1.214285714285713996e-01,-8.126190476190471579e-02,1.521428571428570797e-02
-2.316666666666666180e-02,-2.899999999999997372e-02,-8.950000000000002398e-02,-1.046666666666667411e-01,3.933333333333335208e-02,-8.883333333333337523e-02,-1.336666666666664893e-01,3.300000000000001543e-02,-6.349999999999995925e-02
-2.269047619047619840e-02,-2.785714285714285116e-02,-8.419047619047631548e-02,-1.006904761904763024e-01,3.800000000000000600e-02,-6.385714285714282068e-02,-2.950238095238089664e-01,5.816666666666660962e-02,3.814285714285713808e-02
-2.126190476190473883e-02,-2.709523809523804033e-02,-8.609523809523797477e-02,-8.142857142857129471e-02,6.930952380952386249e-02,-2.350952380952379683e-01,9.523809523809527444e-02,-1.016666666666666413e-01,-7.190476190476194351e-02
-2.071428571428581694e-02,-2.588095238095245582e-02,-7.954761904761901981e-02,-7.628571428571416513e-02,6.764285714285717122e-02,-2.087142857142854913e-01,1.271428571428571130e-01,-2.801190476190475453e-01,3.647619047619043986e-02
-2.072619047619050220e-02,-2.613095238095241440e-02,-8.086904761904764594e-02,-7.713095238095227235e-02,3.929761904761905345e-02,-2.398690476190475929e-01,1.430357142857144603e-01,7.263095238095235162e-02,-2.702380952380952217e-01
-1.880952380952375519e-02,-2.317857142857136094e-02,-6.144047619047617731e-02,-6.098809523809523014e-02,3.614285714285712936e-02,-9.460714285714294514e-02,3.357976190476195666e-01,2.415595238095236130e-01,1.855238095238095353e-01
-2.272619047619050398e-02,-2.850000000000001837e-02,-6.135714285714283234e-02,-2.452619047619050419e-01,1.046309523809524356e-01,1.076666666666666050e-01,-2.438571428571426336e-01,-5.166666666666658303e-02,-1.892857142857142655e-02
-2.260714285714292976e-02,-2.802380952380959661e-02,-6.016666666666668772e-02,-2.445476190476192357e-01,1.040357142857143286e-01,9.802380952380945756e-02,-2.534999999999997256e-01,-6.130952380952367498e-02,8.095238095238092846e-03
-2.259523809523813348e-02,-2.800000000000006303e-02,-6.000000000000003247e-02,-2.443333333333336244e-01,7.292857142857150921e-02,1.064999999999999558e-01,-2.874999999999994782e-01,3.416666666666669239e-02,-3.116666666666665503e-02
-2.240476190476185098e-02,-2.733333333333329285e-02,-5.766666666666657448e-02,-2.426666666666668359e-01,7.207142857142864734e-02,7.633333333333328086e-02,-3.176666666666660421e-01,4.400000000000001826e-02,1.533333333333334464e-02
-1.857142857142842635e-02,-2.397619047619042182e-02,-5.511904761904745653e-02,-8.395238095238097276e-02,2.633095238095241042e-01,3.038809523809521962e-01,2.880238095238096818e-01,-9.911904761904757888e-02,-3.447619047619050747e-02
-1.838095238095226874e-02,-2.330952380952373143e-02,-5.230952380952376413e-02,-8.180952380952376257e-02,2.622619047619049182e-01,2.708571428571424078e-01,3.003333333333334521e-01,-1.321428571428571452e-01,1.450000000000001288e-02
-1.785714285714277982e-02,-2.252380952380948417e-02,-5.169047619047607844e-02,-8.176190476190481338e-02,7.538095238095238182e-02,3.010714285714282124e-01,3.348095238095242787e-01,7.714285714285712414e-02,-7.457142857142856629e-02
-1.730952380952364977e-02,-2.130952380952363598e-02,-4.530952380952370240e-02,-7.659523809523818838e-02,7.371428571428575993e-02,1.049523809523809081e-01,3.725238095238097014e-01,1.095238095238094678e-01,3.980952380952379466e-02
-1.499999999999994393e-02,-5.733333333333329174e-02,-1.234999999999998044e-01,6.250000000000015266e-02,-9.866666666666669416e-02,-6.516666666666662278e-02,-7.099999999999995204e-02,-6.100000000000002642e-02,-3.083333333333329596e-02
-1.499999999999998557e-02,-5.619047619047619346e-02,-1.210238095238093808e-01,6.183333333333341369e-02,-9.752380952380958201e-02,-5.552380952380950307e-02,-1.010238095238095296e-01,-9.102380952380953461e-02,1.547619047619048713e-02
-1.499999999999994393e-02,-5.633333333333329085e-02,-1.209999999999998577e-01,6.150000000000010320e-02,-9.199999999999999845e-02,-8.350000000000001865e-02,-1.284999999999999754e-01,3.766666666666666774e-02,-6.283333333333331050e-02
-1.499999999999997169e-02,-5.383333333333333026e-02,-1.149999999999999634e-01,6.033333333333331522e-02,-8.916666666666669960e-02,-5.866666666666666557e-02,-2.891666666666666274e-01,6.233333333333321985e-02,3.816666666666668900e-02
-1.422619047619044785e-02,-5.451190476190467815e-02,-1.177738095238092947e-01,5.265476190476202356e-02,-9.797619047619048060e-02,-9.141666666666667385e-02,6.148809523809522365e-02,-1.274166666666667891e-01,-7.082142857142857684e-02
