Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9
-3.166666666666670404e-02,-3.166666666666670404e-02,-3.166666666666670404e-02,-2.499999999999998751e-02,-2.499999999999998751e-02,-2.499999999999998404e-02,-5.000000000000007910e-02,-5.000000000000007910e-02,-5.000000000000007910e-02
-3.073809523809524491e-02,-3.073809523809524491e-02,-3.057142857142856884e-02,-2.399999999999996581e-02,-2.440476190476188051e-02,-2.440476190476188051e-02,-9.123809523809524313e-02,-9.140476190476190532e-02,2.750000000000002096e-02
-3.133333333333333109e-02,-3.133333333333333109e-02,-3.133333333333333109e-02,-2.466666666666664232e-02,-2.466666666666664925e-02,-2.466666666666666660e-02,-9.099999999999998368e-02,2.999999999999998501e-02,-9.099999999999998368e-02
-3.007142857142863085e-02,-3.007142857142861697e-02,-2.942857142857145669e-02,-2.311904761904761546e-02,-2.390476190476188006e-02,-2.390476190476189394e-02,-2.811190476190477683e-01,6.185714285714270094e-02,5.976190476190475914e-02
-3.099999999999998590e-02,-3.099999999999998590e-02,-3.099999999999998937e-02,-2.433333333333332488e-02,-2.433333333333331794e-02,-2.433333333333331794e-02,4.999999999999987094e-02,-1.020000000000001045e-01,-1.020000000000001045e-01
-2.924999999999999128e-02,-2.925000000000000516e-02,-2.919047619047619030e-02,-2.251190476190473994e-02,-2.274999999999998551e-02,-2.274999999999999245e-02,9.027380952380953394e-02,-3.115833333333338784e-01,5.701190476190476364e-02
-3.016666666666666802e-02,-3.016666666666666802e-02,-3.016666666666664720e-02,-2.333333333333331705e-02,-2.333333333333331011e-02,-2.333333333333332399e-02,9.999999999999999167e-02,6.899999999999985312e-02,-3.285000000000003473e-01
-2.614285714285730089e-02,-2.614285714285723844e-02,-2.585714285714296734e-02,-1.957142857142860765e-02,-1.997619047619047031e-02,-1.997619047619049112e-02,3.213333333333333042e-01,2.626190476190469747e-01,2.337142857142856522e-01
-3.099999999999997202e-02,-3.099999999999997202e-02,-3.099999999999997549e-02,-5.999999999999999778e-02,-6.000000000000000472e-02,3.999999999999994532e-02,-4.900000000000006434e-02,-4.900000000000006434e-02,-4.900000000000006434e-02
-3.026190476190473988e-02,-3.026190476190472600e-02,-2.995238095238088316e-02,-5.811904761904760491e-02,-5.876190476190475825e-02,3.933333333333329657e-02,-8.945238095238096376e-02,-8.976190476190476497e-02,2.723809523809526262e-02
-3.066666666666658519e-02,-3.066666666666659907e-02,-3.066666666666659907e-02,-5.866666666666669333e-02,-5.866666666666669333e-02,3.833333333333330262e-02,-8.899999999999996803e-02,2.899999999999997718e-02,-8.899999999999996803e-02
-3.019047619047620507e-02,-3.019047619047621200e-02,-2.859523809523808330e-02,-5.450000000000001371e-02,-5.619047619047618652e-02,3.664285714285712287e-02,-2.765952380952381717e-01,6.030952380952366715e-02,5.930952380952380504e-02
-3.033333333333325388e-02,-3.033333333333325388e-02,-3.033333333333325735e-02,-5.816666666666667207e-02,-5.816666666666666513e-02,3.833333333333330956e-02,4.866666666666655261e-02,-9.983333333333342663e-02,-9.983333333333342663e-02
-2.873809523809526395e-02,-2.873809523809523619e-02,-2.864285714285711576e-02,-5.340476190476189239e-02,-5.373809523809522370e-02,3.650000000000000466e-02,8.757142857142855008e-02,-3.065714285714286058e-01,5.576190476190479028e-02
-2.949999999999997763e-02,-2.949999999999994987e-02,-2.949999999999994640e-02,-5.400000000000002714e-02,-5.400000000000002714e-02,3.516666666666665858e-02,9.749999999999997558e-02,6.699999999999994849e-02,-3.231666666666667131e-01
-2.584523809523817106e-02,-2.584523809523819882e-02,-2.527380952380958029e-02,-3.833333333333332343e-02,-3.901190476190475459e-02,3.003571428571430446e-02,3.153214285714286969e-01,2.583928571428568688e-01,2.305595238095237143e-01
-3.079761904761903202e-02,-3.079761904761903549e-02,-3.042857142857143329e-02,-5.294047619047619752e-02,2.529761904761906530e-02,-5.313095238095239675e-02,-4.894047619047625641e-02,-4.913095238095244871e-02,-4.913095238095244871e-02
-3.034523809523811955e-02,-3.034523809523809179e-02,-2.928571428571428298e-02,-5.065476190476190382e-02,2.432142857142858411e-02,-5.184523809523810395e-02,-8.879761904761905578e-02,-8.984523809523808913e-02,2.679761904761906663e-02
-3.064285714285714529e-02,-3.064285714285711754e-02,-2.999999999999997807e-02,-5.197619047619048832e-02,2.485714285714288319e-02,-5.247619047619051652e-02,-8.940476190476187579e-02,3.009523809523809851e-02,-8.980952380952379743e-02
-3.101190476190480300e-02,-3.101190476190479606e-02,-2.779761904761905711e-02,-4.755952380952379460e-02,2.358333333333334503e-02,-5.084523809523811694e-02,-2.764523809523810050e-01,6.217857142857127067e-02,5.891666666666666580e-02
-3.005952380952375824e-02,-3.005952380952378600e-02,-2.982142857142855430e-02,-5.166666666666670793e-02,2.451190476190477641e-02,-5.172619047619048810e-02,4.960714285714274557e-02,-1.003928571428571864e-01,-1.003928571428572003e-01
-2.850000000000000450e-02,-2.849999999999998368e-02,-2.807142857142854581e-02,-4.690476190476187274e-02,2.240476190476192037e-02,-4.733333333333332449e-02,8.914285714285716256e-02,-3.071666666666671430e-01,5.492857142857140995e-02
-2.929761904761898211e-02,-2.929761904761899599e-02,-2.892857142857138686e-02,-4.877380952380953177e-02,2.329761904761905311e-02,-4.896428571428572407e-02,9.870238095238094422e-02,6.839285714285700535e-02,-3.251309523809529090e-01
-2.575000000000005063e-02,-2.575000000000006450e-02,-2.464285714285721629e-02,-3.473809523809531091e-02,1.896428571428572518e-02,-3.574999999999999706e-02,3.174523809523809859e-01,2.608214285714280933e-01,2.293928571428570373e-01
-2.949999999999994987e-02,-2.949999999999997763e-02,-2.885714285714285898e-02,-2.455595238095238386e-01,6.595238095238085962e-02,8.752380952380946211e-02,-4.639285714285718010e-02,-4.683333333333337956e-02,-4.683333333333337956e-02
-3.003571428571424895e-02,-3.003571428571424895e-02,-2.769047619047614039e-02,-2.395476190476190648e-01,6.358333333333324178e-02,8.551190476190471956e-02,-8.254761904761900859e-02,-8.503571428571425617e-02,2.579761904761906227e-02
-2.990476190476184376e-02,-2.990476190476187152e-02,-2.828571428571426127e-02,-2.412857142857143811e-01,6.476190476190465950e-02,8.442857142857138064e-02,-8.354761904761899560e-02,2.864285714285712964e-02,-8.490476190476184404e-02
-3.727380952380956319e-02,-3.727380952380956319e-02,-2.511904761904756866e-02,-2.224880952380953736e-01,6.113095238095230671e-02,7.953571428571425128e-02,-2.558214285714283664e-01,6.001190476190466222e-02,5.729761904761902086e-02
-2.865476190476183571e-02,-2.865476190476183571e-02,-2.832142857142851133e-02,-2.403928571428570748e-01,6.341666666666659347e-02,8.367857142857139385e-02,4.690476190476185192e-02,-9.398809523809523170e-02,-9.398809523809523170e-02
-2.746428571428571191e-02,-2.746428571428571885e-02,-2.679761904761900765e-02,-2.201309523809523438e-01,5.679761904761899266e-02,7.729761904761900393e-02,8.266666666666665220e-02,-2.854642857142860590e-01,5.055952380952379727e-02
-2.803571428571429575e-02,-2.803571428571429922e-02,-2.739285714285709383e-02,-2.235000000000000597e-01,5.903571428571420532e-02,7.594047619047612774e-02,9.255952380952381375e-02,6.429761904761899238e-02,-3.048690476190478726e-01
-2.584523809523811555e-02,-2.584523809523808086e-02,-2.322619047619050442e-02,-9.673809523809534516e-02,3.934523809523813448e-02,5.367857142857145741e-02,2.971309523809524400e-01,2.473214285714282201e-01,2.141785714285712738e-01
-3.033333333333335102e-02,-3.033333333333334755e-02,-3.033333333333334755e-02,2.666666666666672042e-02,-5.433333333333343479e-02,-5.433333333333343479e-02,-4.900000000000005046e-02,-4.900000000000004352e-02,-4.900000000000005046e-02
-2.935714285714285249e-02,-2.935714285714285249e-02,-2.935714285714285249e-02,2.600000000000005085e-02,-5.285714285714292887e-02,-5.285714285714292887e-02,-8.952380952380951940e-02,-8.952380952380951940e-02,2.683333333333335832e-02
-2.999999999999999195e-02,-2.999999999999999195e-02,-2.999999999999999889e-02,2.566666666666672994e-02,-5.333333333333343390e-02,-5.333333333333343390e-02,-8.933333333333330628e-02,2.966666666666665370e-02,-8.933333333333330628e-02
-2.854761904761909941e-02,-2.854761904761910635e-02,-2.835714285714289323e-02,2.426190476190480394e-02,-5.038095238095242206e-02,-5.038095238095242206e-02,-2.776428571428574132e-01,6.111904761904749656e-02,5.847619047619049409e-02
-2.966666666666661900e-02,-2.966666666666663288e-02,-2.966666666666662941e-02,2.566666666666670565e-02,-5.283333333333342652e-02,-5.283333333333344040e-02,4.933333333333322912e-02,-1.001666666666667510e-01,-1.001666666666667510e-01
-2.797619047619046700e-02,-2.797619047619047394e-02,-2.797619047619043231e-02,2.450000000000002870e-02,-4.897619047619048566e-02,-4.897619047619048566e-02,8.899999999999996803e-02,-3.074761904761910136e-01,5.585714285714285521e-02
-2.883333333333327336e-02,-2.883333333333328030e-02,-2.883333333333328030e-02,2.383333333333334525e-02,-4.966666666666672003e-02,-4.966666666666670615e-02,9.849999999999996259e-02,6.799999999999989386e-02,-3.245000000000004547e-01
-2.490476190476192953e-02,-2.490476190476193646e-02,-2.478571428571436919e-02,2.033333333333329357e-02,-3.657142857142853254e-02,-3.657142857142855336e-02,3.173333333333333006e-01,2.596190476190470831e-01,2.304523809523809086e-01
-2.883333333333333581e-02,-2.883333333333333234e-02,-2.883333333333334622e-02,6.233333333333328924e-02,-2.371666666666664147e-01,8.133333333333316040e-02,-4.666666666666670349e-02,-4.666666666666670349e-02,-4.666666666666670349e-02
-2.797619047619047394e-02,-2.797619047619044619e-02,-2.797619047619044619e-02,6.083333333333330178e-02,-2.333095238095235779e-01,7.983333333333317294e-02,-8.480952380952380687e-02,-8.480952380952380687e-02,2.619047619047620845e-02
-2.849999999999996286e-02,-2.849999999999997674e-02,-2.849999999999997674e-02,6.016666666666662527e-02,-2.329999999999999016e-01,7.816666666666648167e-02,-8.383333333333330140e-02,2.783333333333333839e-02,-8.383333333333330140e-02
-2.738095238095242245e-02,-2.738095238095242245e-02,-2.694047619047620218e-02,5.628571428571427920e-02,-2.198809523809523714e-01,7.357142857142845438e-02,-2.617976190476192233e-01,5.709523809523799759e-02,5.642857142857141128e-02
-2.816666666666663155e-02,-2.816666666666660379e-02,-2.816666666666660726e-02,5.983333333333328702e-02,-2.318333333333330859e-01,7.783333333333318504e-02,4.666666666666660634e-02,-9.400000000000005573e-02,-9.400000000000005573e-02
-2.666666666666663715e-02,-2.666666666666664409e-02,-2.666666666666662328e-02,5.599999999999997341e-02,-2.154999999999998306e-01,7.266666666666656005e-02,8.266666666666661056e-02,-2.888333333333336084e-01,5.300000000000001238e-02
-2.733333333333329979e-02,-2.733333333333331713e-02,-2.733333333333327550e-02,5.449999999999995820e-02,-2.143333333333333202e-01,7.016666666666653007e-02,9.233333333333328119e-02,6.333333333333329707e-02,-3.040000000000002700e-01
-2.384523809523822480e-02,-2.384523809523817622e-02,-2.361904761904760203e-02,3.916666666666668295e-02,-9.867857142857153208e-02,5.103571428571430230e-02,2.968333333333333934e-01,2.442261904761901248e-01,2.187261904761904630e-01
-2.839285714285715717e-02,-2.839285714285715717e-02,-2.815476190476191506e-02,6.427380952380949697e-02,6.151190476190456641e-02,-2.202261904761904365e-01,-4.683333333333335874e-02,-4.689285714285717360e-02,-4.689285714285717360e-02
-2.764285714285714957e-02,-2.764285714285714957e-02,-2.723809523809526262e-02,6.249999999999996531e-02,5.902380952380936047e-02,-2.156428571428569974e-01,-8.402380952380948675e-02,-8.430952380952379255e-02,2.497619047619049557e-02
-2.809523809523808285e-02,-2.809523809523810367e-02,-2.776190476190477235e-02,6.223809523809519656e-02,6.007142857142840769e-02,-2.172619047619047672e-01,-8.516666666666661278e-02,2.933333333333334320e-02,-8.526190476190470546e-02
-2.719047619047626485e-02,-2.719047619047626485e-02,-2.614285714285717599e-02,5.764285714285717621e-02,5.492857142857138913e-02,-2.038571428571428756e-01,-2.624047619047620850e-01,5.976190476190468975e-02,5.445238095238096043e-02
-2.772619047619045984e-02,-2.772619047619045984e-02,-2.754761904761903954e-02,6.216666666666662705e-02,5.984523809523794452e-02,-2.162261904761904052e-01,4.833333333333329068e-02,-9.555952380952383030e-02,-9.555952380952381642e-02
-2.626190476190474327e-02,-2.626190476190475021e-02,-2.602380952380951851e-02,5.833333333333335508e-02,5.440476190476185858e-02,-2.004285714285713449e-01,8.599999999999996536e-02,-2.909285714285719804e-01,5.116666666666663810e-02
-2.692857142857146835e-02,-2.692857142857143365e-02,-2.669047619047614645e-02,5.716666666666674057e-02,5.573809523809517691e-02,-2.027619047619048931e-01,9.466666666666667673e-02,6.533333333333327109e-02,-3.095952380952385896e-01
-2.351190476190478940e-02,-2.351190476190481021e-02,-2.298809523809532823e-02,4.116666666666670554e-02,3.836904761904766370e-02,-9.434523809523823190e-02,3.022023809523810001e-01,2.477261904761901279e-01,2.148928571428570244e-01
-2.432142857142862574e-02,-2.432142857142869513e-02,-2.398809523809526667e-02,2.710714285714284077e-01,2.830833333333332424e-01,3.198452380952380159e-01,-4.039285714285714701e-02,-4.048809523809524663e-02,-4.048809523809524663e-02
-2.394047619047622033e-02,-2.394047619047626196e-02,-2.329761904761909475e-02,2.666904761904759780e-01,2.763214285714282736e-01,3.147976190476188818e-01,-6.394047619047620035e-02,-6.444047619047618691e-02,2.174999999999999156e-02
-2.416666666666677371e-02,-2.416666666666670085e-02,-2.355952380952380798e-02,2.657619047619044772e-01,2.786428571428568590e-01,3.124761904761904074e-01,-6.505952380952381708e-02,2.540476190476190915e-02,-6.533333333333332660e-02
-2.485714285714289706e-02,-2.485714285714293870e-02,-2.205952380952382053e-02,2.493809523809522311e-01,2.585238095238091560e-01,2.931904761904759460e-01,-1.372500000000000941e-01,4.623809523809524480e-02,4.169047619047618752e-02
-2.369047619047625480e-02,-2.369047619047625480e-02,-2.345238095238093290e-02,2.649999999999997358e-01,2.771428571428568577e-01,3.107380952380949801e-01,4.166666666666669905e-02,-7.185714285714289717e-02,-7.185714285714284166e-02
-2.273809523809535577e-02,-2.273809523809536270e-02,-2.240476190476188567e-02,2.498333333333330464e-01,2.555952380952377645e-01,2.889285714285712015e-01,6.499999999999998834e-02,-1.487380952380953081e-01,3.726190476190472528e-02
-2.303571428571435376e-02,-2.303571428571439192e-02,-2.266666666666670993e-02,2.444999999999996065e-01,2.582023809523804614e-01,2.842023809523804845e-01,7.199999999999995293e-02,4.903571428571426583e-02,-1.592023809523809841e-01
